Instruction, , , , , , , , , , Result, Operator, (, Operand, ), Actual Value(s),,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , CFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , CRFactor, ,0,,,,,,,,,,,
, FinalFactor, , , , , , , , ,1, ?, ,1, ,1,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ?, ," ""min(AllDiscount"," MaxCreditPerPeril)""", ," ""min(0"," 0.054) = 0""",,,,,,,,,
, BaseRate, , , , , , , , ,29.73, ?, , table:SPP_Rate, ," ""(Golfers Equipment"," false) = 12""",,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, (, RatingInfo.PersonalPropertyCovLimit, ,2500,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ÷, ,1000, ),1000,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , FinalFactor, ,1,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Credit.Optional Coverage, ," ""(1", <<731,731>>," Optional) = 0.991""",,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:MultipolicyDiscount.Optional Coverage, ," ""(1", false, false, false, false, false," false) = 1""",,,,,
, , CONTINUE, , , , , , , , , ×, , table:EmployeeDiscount, ," ""(false"," 1) = 1""",,,,,,,,,,
, AdjustedRate, , , , , , , , ,29.73, ?, , CostData.BaseRate, ,29.73,,,,,,,,,,,
, TermAmount, , , , , , , , ,29.73, ?, , CostData.BaseRate, ,29.73,,,,,,,,,,,
, , CONTINUE, , , , , , , , , R, ,0.01, ,29.73,,,,,,,,,,,
Coverage A - Dwelling - Liability, , , , , , , , , , , , , , , ,,,,,,,,,,,
, FRM_RB_INDIANA (1), , , , , , , , , , , , , , ,,,,,,,,,,,
, Coverage_Liaiblity (1), , , , , , , , , , , , , , ,,,,,,,,,,,
, PolicySizeFactor, , , , , , , , ,1, ?, ,1, ,1,,,,,,,,,,,
, ContentOnlyFactor, , , , , , , , ,1, ?, ,1, ,1,,,,,,,,,,,
, RateFactor, , , , , , , , ,1, ?, ,1, ,1,,,,,,,,,,,
, AcreageFactor, , , , , , , , ,1, ?, ,1, ,1,,,,,,,,,,,
, AcreageFactor, , , , , , , , ,1.19, ?, , table:Acreage.Liability, ," ""(1", <<57,57>>," Cov A) = 1.19""",,,,,,,,
, RateFactor, , , , , , , , ,1, ?, , table:Number Of Families.Liability, ," ""(1"," 1) = 1""",,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:TownRowHouse.Liability, ," ""(1"," 1) = 1""",,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Pool.Liability, ," ""(1", false," false) = 1""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Trampoline.Liability, ," ""(1"," false) = 1""",,,,,,,,,,
, PolicySizeFactor, , , , , , , , ,0.925436, ?, , table:PolicySizeRelativity.Liability, ," ""(1",220718," Cov A) = 0.925436""",,,,,,,,,
, ContentOnlyFactor, , , , , , , , ,1.044, ?, , table:Sq Feet Stories.Liability, ," ""(<<1500",1500>>, Cov A," 2) = 1""",,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Repl Cost Sq Ft.Liability, ," ""(<<147","147>>) = 1.044""",,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Bathrooms.Liability, ," ""(1"," 1) = 1""",,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Garage Factor.Liability, , (Attached-1) = 1,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Perils.Liability, ," ""(1", Special," Cov A) = 1""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Utility.Liability, ," ""(1", Heating, <<9,9>>, <<9,"9>>) = 1""",,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Utility.Liability, ," ""(1", Plumbing, <<9,9>>, <<9,"9>>) = 1""",,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Utility.Liability, ," ""(1", Electrical, <<9,9>>, <<9,"9>>) = 1""",,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Wind Mitigation.Liability, ," ""(GableSteepPitch", null, <<2010,2010>>," Madison) = 1""",,,,,,,
, IFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, OFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, ADFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, NFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, QFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, JFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, KFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, MFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, SmartCameraFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, SmartSmokeAlarmFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, SmartLightFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, AutTempDetFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, WaterLeakgDetFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, GasLeakgDetFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, GeneratorFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, CFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, CRFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, MaxCreditPerPeril, , , , , , , , ,0.2, ?, , table:ProtectiveDevices.Liability, ," ""(1", Max," Cov A) = 0.2""",,,,,,,,,
, AllDiscount, , , , , , , , ,0, ?, , IFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , JFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , KFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , MFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , NFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , OFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , QFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , SmartCameraFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , SmartSmokeAlarmFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , SmartLightFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , AutTempDetFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , GeneratorFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , WaterLeakgDetFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , GasLeakgDetFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , ADFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , CFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , CRFactor, ,0,,,,,,,,,,,
, FinalFactor, , , , , , , , ,1, ?, ,1, ,1,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ?, ," ""min(AllDiscount"," MaxCreditPerPeril)""", ," ""min(0"," 0.2) = 0""",,,,,,,,,
, BaseRate, , , , , , , , , 59.4427915566513218578752000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, ?, , table:BaseRate.Liability, ," ""(1"," Cov A) = 48.88""",,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , ContentOnlyFactor, ,1.044,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Territory Relativities.Liability, ," ""(1", Cov A," 46063) = 0.9""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Wind Hail Exclusion.Liability, , (false) = 1,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Distance To Coast.Liability, ," ""(46063", <<999.990,"999.990>>) = 1""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , AcreageFactor, ,1.19,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Farm_Type.Liability, ," ""(1", Crops," Cov A) = 1""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Credit.Liability, ," ""(1", <<731,731>>," Cov A) = 0.985""",,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Protection Class.Liability, ," ""(1",10," Cov A) = 1""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Miles To Fire Department.Liability, ," ""(1", Over10Miles," Cov A) = 1""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Construction Materials for All.Liability, ," ""(1", Cov A," Frame-MV) = 1""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Farming Claims Factor.Liability, ," ""(1", <<1000,1000>>, Cov A,0,0,0,0,0,0,0," 0) = 1"""
, , CONTINUE, , , , , , , , , ×, , table:Dwelling_Age.Liability, ," ""(1", false, <<9,"9>>) = 0.859""",,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Dwelling Year Built Factor.Liability, ," ""(1", false,1, <<2010,"2010>>) = 1""",,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:AoR.Liability, ," ""(1", Cov A,1, Metal, <<8,8>>, false," false) = 1""",,,,
, , CONTINUE, , , , , , , , , ×, , table:RoofShape.Liability, ," ""(1", GableSteepPitch," false) = 1""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:RoofExclusion.Liability, ," ""(1", Cov A," false) = 1""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:MultipolicyDiscount.Liability, ," ""(1", false, false, false, false, false," false) = 1""",,,,,
, , CONTINUE, , , , , , , , , ×, , table:Fortified.Liability, ," ""(1"," None) = 1""",,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , RateFactor, ,1,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , FinalFactor, ,1,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , PolicySizeFactor, ,0.925436,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , CoverageInfo.CovModLimit, ,1.389,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Brushfire.Liability, ," ""(1", <<0,"0>>) = 1""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:SolidFuel.Liability, ," ""(1", Cov A, false, false, false," false) = 1""",,,,,,
, , CONTINUE, , , , , , , , , ×, , table:FoundationType.Liability, ," ""(1"," FullBasement) = 1""",,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:ACVRoof.Liability, ," ""(1", false, Cov A, <<8,"8>>) = 1""",,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:All Perils Deductible.Liability, ," ""(1", Cov A,1000, <<220718,"220718>>) = 1""",,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:WHDeductible.Liability, ," ""(1", false, Cov A,1000, <<220718,220718>>," 1) = 1""",,,,,
, , CONTINUE, , , , , , , , , ×, , table:Occupancy.Liability, , (Primary) = 1,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:EmployeeDiscount, ," ""(false"," 1) = 1""",,,,,,,,,,
, BaseRate, , , , , , , , ,59.4428, ?, , CostData.BaseRate, ,59.4428,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , RatingInfo.IRPMFactor, ,1,,,,,,,,,,,
, BaseRate, , , , , , , , ,59.4428, ?, , CostData.BaseRate, ,59.4428,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , table:Fixed Expense.Liability, ," ""(1"," Cov A) = 0""",,,,,,,,,,
, AdjustedRate, , , , , , , , ,59.4428, ?, , CostData.BaseRate, ,59.4428,,,,,,,,,,,
, TermAmount, , , , , , , , ,59.44, ?, , CostData.BaseRate, ,59.4428,,,,,,,,,,,
, , CONTINUE, , , , , , , , , R, ,0.01, ,59.44,,,,,,,,,,,
entity.FRMStructure, , , , , , , , , , , , , , , ,,,,,,,,,,,
Structure:(2), , , , , , , , , , , , , , , ,,,,,,,,,,,
Coverage O - Farm Outbuildings and Structures - Other, , , , , , , , , , , , , , , ,,,,,,,,,,,
, FRM_RB_INDIANA (1), , , , , , , , , , , , , , ,,,,,,,,,,,
, Cov_O_Other (1), , , , , , , , , , , , , , ,,,,,,,,,,,
, ConstructionFactor, , , , , , , , ,1, ?, ,1, ,1,,,,,,,,,,,
, RoofFactor, , , , , , , , ,1, ?, ,1, ,1,,,,,,,,,,,
, PolicySizeFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, SmartCameraFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, SmartSmokeAlarmFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, SmartLightFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, AutTempDetFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, WaterLeakgDetFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, GasLeakgDetFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, GeneratorFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, IFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, JFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, KFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, MFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, NFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, OFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, ADFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, QFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, XFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, CFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, CRFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, AcreageFactor, , , , , , , , ,1, ?, ,1, ,1,,,,,,,,,,,
, AcreageFactor, , , , , , , , ,1, ?, , table:Acreage.Other, ," ""(1", <<57,57>>," Cov O) = 1""",,,,,,,,
, MaxCreditPerPeril, , , , , , , , ,0.2, ?, , table:ProtectiveDevices.Other, ," ""(1", Max," Cov O) = 0.2""",,,,,,,,,
, AllDiscount, , , , , , , , ,0, ?, , IFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , JFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , KFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , MFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , NFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , OFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , QFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , SmartCameraFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , SmartSmokeAlarmFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , SmartLightFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , AutTempDetFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , GeneratorFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , WaterLeakgDetFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , GasLeakgDetFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , ADFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , XFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , CFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , CRFactor, ,0,,,,,,,,,,,
, FinalFactor, , , , , , , , ,1, ?, ,1, ,1,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ?, ," ""min(AllDiscount"," MaxCreditPerPeril)""", ," ""min(0"," 0.2) = 0""",,,,,,,,,
, PolicySizeFactor, , , , , , , , ,0.48528, ?, , table:PolicySizeRelativity.Other, ," ""(1",48528," Cov O) = 0.48528""",,,,,,,,,
, ConstructionFactor, , , , , , , , ,1.01, ?, , table:Construction Materials for All.Other, ," ""(1", Cov O," Pre-Engineered Metal (ISO 3)) = 1.01""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Sq Feet Stories.Other, ," ""(<<2200",2200>>, Cov O," 2) = 1""",,,,,,,,
, RoofFactor, , , , , , , , ,0.774, ?, , table:AoR.Other, ," ""(1", Cov O,1, Slate, <<3,3>>, false," false) = 0.774""",,,,
, , CONTINUE, , , , , , , , , ×, , table:RoofExclusion.Other, ," ""(1", Cov O," false) = 1""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:ACVRoof.Other, ," ""(1", false, Cov O, <<3,"3>>) = 1""",,,,,,,
, BaseRate, , , , , , , , , 32.25431118178078268883015970160640000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, ?, , table:BaseRate.Other, ," ""(1"," Cov O) = 56.81""",,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Territory Relativities.Other, ," ""(1", Cov O," 46063) = 1.1""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Wind Hail Exclusion.Other, , (false) = 1,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Distance To Coast.Other, ," ""(46063", <<999.990,"999.990>>) = 1""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , AcreageFactor, ,1,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Farm_Type.Other, ," ""(1", Crops," Cov O) = 1""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Structure Type.Other, ," ""(1"," PoultryHouseCageOpMultiStory) = 1.296""",,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Credit.Other, ," ""(1", <<731,731>>," Cov O) = 0.992""",,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Protection Class.Other, ," ""(1",10," Cov O) = 1""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Miles To Fire Department.Other, ," ""(1", Over10Miles," Cov O) = 1""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , ConstructionFactor, ,1.01,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Hay Storage & Open Sides.Other, ," ""(false", <<0,"0>>) = 1""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Confinement.Other, ," ""(true", false, false, true, Inside, false," true) = 1.3""",,,,,
, , CONTINUE, , , , , , , , , ×, , table:Brooder_Heater.Other, , (false) = 1,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Perils.Other, ," ""(1", Special," Cov O) = 1.07""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Age Of Structure.Other, ," ""(1", Confinement, <<3,"3>>) = 0.87""",,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:MultipolicyDiscount.Other, ," ""(1", false, false, false, false, false," false) = 1""",,,,,
, , CONTINUE, , , , , , , , , ×, , FinalFactor, ,1,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , PolicySizeFactor, ,0.48528,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , CoverageInfo.CovModLimit, ,0.9749,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Brushfire.Other, ," ""(1", <<0,"0>>) = 1""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:SolidFuel.Other, ," ""(1", Cov O, false, false, false," false) = 1""",,,,,,
, , CONTINUE, , , , , , , , , ×, , table:All Perils Deductible.Other, ," ""(1", Cov O,1000, <<48528,"48528>>) = 0.897""",,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:WHDeductible.Other, ," ""(1", false, Cov O,1000, <<48528,48528>>," 1) = 1""",,,,,
, , CONTINUE, , , , , , , , , ×, , table:EmployeeDiscount, ," ""(false"," 1) = 1""",,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , RoofFactor, ,0.774,,,,,,,,,,,
, BaseRate, , , , , , , , ,32.2543, ?, , CostData.BaseRate, ,32.2543,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , RatingInfo.IRPMFactor, ,1,,,,,,,,,,,
, BaseRate, , , , , , , , ,32.2543, ?, , CostData.BaseRate, ,32.2543,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , table:Fixed Expense.Other, ," ""(1"," Cov O) = 0""",,,,,,,,,,
, AdjustedRate, , , , , , , , ,32.2543, ?, , CostData.BaseRate, ,32.2543,,,,,,,,,,,
, TermAmount, , , , , , , , ,32.25, ?, , CostData.BaseRate, ,32.2543,,,,,,,,,,,
, , CONTINUE, , , , , , , , , R, ,0.01, ,32.25,,,,,,,,,,,
Coverage O - Farm Outbuildings and Structures - Hurricane, , , , , , , , , , , , , , , ,,,,,,,,,,,
, FRM_RB_INDIANA (1), , , , , , , , , , , , , , ,,,,,,,,,,,
, Cov_O_Hurricane (1), , , , , , , , , , , , , , ,,,,,,,,,,,
, AcreageFactor, , , , , , , , ,1, ?, ,1, ,1,,,,,,,,,,,
, AcreageFactor, , , , , , , , ,1, ?, , table:Acreage.Hurricane, ," ""(1", <<57,57>>," Cov O) = 1""",,,,,,,,
, ConstructionFactor, , , , , , , , ,1, ?, ,1, ,1,,,,,,,,,,,
, RoofFactor, , , , , , , , ,1, ?, ,1, ,1,,,,,,,,,,,
, PolicySizeFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, SmartCameraFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, SmartSmokeAlarmFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, SmartLightFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, AutTempDetFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, WaterLeakgDetFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, GasLeakgDetFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, GeneratorFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, IFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, JFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, KFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, MFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, NFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, OFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, ADFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, QFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, XFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, CFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, CRFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, MaxCreditPerPeril, , , , , , , , ,0.2, ?, , table:ProtectiveDevices.Hurricane, ," ""(1", Max," Cov O) = 0.2""",,,,,,,,,
, AllDiscount, , , , , , , , ,0, ?, , IFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , JFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , KFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , MFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , NFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , OFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , QFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , SmartCameraFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , SmartSmokeAlarmFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , SmartLightFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , AutTempDetFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , GeneratorFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , WaterLeakgDetFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , GasLeakgDetFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , ADFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , XFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , CFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , CRFactor, ,0,,,,,,,,,,,
, FinalFactor, , , , , , , , ,1, ?, ,1, ,1,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ?, ," ""min(AllDiscount"," MaxCreditPerPeril)""", ," ""min(0"," 0.2) = 0""",,,,,,,,,
, PolicySizeFactor, , , , , , , , ,0.48528, ?, , table:PolicySizeRelativity.Hurricane, ," ""(1",48528," Cov O) = 0.48528""",,,,,,,,,
, RoofFactor, , , , , , , , ,1, ?, , table:AoR.Hurricane, ," ""(1", Cov O,1, Slate, <<3,3>>, false," false) = 1""",,,,
, , CONTINUE, , , , , , , , , ×, , table:RoofExclusion.Hurricane, ," ""(1", Cov O," false) = 1""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:ACVRoof.Hurricane, ," ""(1", false, Cov O, <<3,"3>>) = 1""",,,,,,,
, ConstructionFactor, , , , , , , , ,1, ?, , table:Construction Materials for All.Hurricane, ," ""(1", Cov O," Pre-Engineered Metal (ISO 3)) = 1""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Sq Feet Stories.Hurricane, ," ""(<<2200",2200>>, Cov O," 2) = 1""",,,,,,,,
, BaseRate, , , , , , , , ,9.68464939, ?, , table:BaseRate.Hurricane, ," ""(1"," Cov O) = 10.12""",,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Territory Relativities.Hurricane, ," ""(1", Cov O," 46063) = 1.502""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Wind Hail Exclusion.Hurricane, , (false) = 1,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Distance To Coast.Hurricane, ," ""(46063", <<999.990,"999.990>>) = 1""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , AcreageFactor, ,1,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Farm_Type.Hurricane, ," ""(1", Crops," Cov O) = 1""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Structure Type.Hurricane, ," ""(1"," PoultryHouseCageOpMultiStory) = 1""",,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Credit.Hurricane, ," ""(1", <<731,731>>," Cov O) = 0.993""",,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Protection Class.Hurricane, ," ""(1",10," Cov O) = 1""",,,,,,,,,
