S.No.,Coverage_Name,Dwelling,Rating_Factors_Algorithm,Rating_Factors_PC_worksheet,Rating_Factors_Expected
366,Coverage A,Other,Occupancy,table:Occupancy.Other,Occupancy
367,Coverage A,Other,Employee Discount,table:EmployeeDiscount,EmployDisc
368,Coverage A,Other,IRPM Factor,IFactor,
369,Coverage A,Other,Transfer Plan Factor,,
370,Coverage B,Liability,Base Rate,table:BaseRate.Liability,BaseRate
371,Coverage B,Liability,Territory Relativities,table:Territory Relativities.Liability,TerrRel
372,Coverage B,Liability,WindHail Excl,table:Wind Hail Exclusion.Liability,WHExcl
373,Coverage B,Liability,Distance to Coast,table:Distance To Coast.Liability,
374,Coverage B,Liability,Acreage,table:Acreage.Liability,Acres
375,Coverage B,Liability,Farm Type,table:Farm_Type.Liability,FarmType
376,Coverage B,Liability,Credit,table:Credit.Liability,Credit
377,Coverage B,Liability,Protection Class,table:Protection Class.Liability,PC
378,Coverage B,Liability,Miles to Fire Department,table:Miles To Fire Department.Liability,MilesToDept
379,Coverage B,Liability,Construction Type,table:Construction Materials for All.Liability,Constr
380,Coverage B,Liability,Number of Families,table:Number Of Families.Liability,NumFam
381,Coverage B,Liability,TownRowhouse,table:TownRowHouse.Liability,TownRow
382,Coverage B,Liability,Stories and Square Feet,table:Sq Feet Stories.Liability,StorSqFt
383,Coverage B,Liability,Replacement Cost Per Sq Foot,table:Repl Cost Sq Ft.Liability,CovARPC
384,Coverage B,Liability,Number of Bathrooms,table:Bathrooms.Liability,NumBaths
385,Coverage B,Liability,Garage Factor,table:Garage Factor.Liability,Garages
386,Coverage B,Liability,Dwelling Claims Factor,,DwellClaims
387,Coverage B,Liability,Farming Claims Factor,table:Farming Claims Factor.Liability,FarmClaims
388,Coverage B,Liability,New Business Loss Experience Factor,,
389,Coverage B,Liability,Pool Liability,table:Pool.Liability,Pool
390,Coverage B,Liability,Trampoline Liability,table:Trampoline.Liability,Trampoline
391,Coverage B,Liability,Perils Factor,table:Perils.Liability,Perils
392,Coverage B,Liability,Age of Dwelling,,AOD
393,Coverage B,Liability,Dwelling Year Built Factor,table:Dwelling Year Built Factor.Liability,DwellYrBuilt
394,Coverage B,Liability,"Age of Roof, Roof Construction",table:AoR.Liability,AOR
395,Coverage B,Liability,Roof Shape,table:RoofShape.Liability,RoofShape
396,Coverage B,Liability,Roof Exclusion,table:RoofExclusion.Liability,RoofExcl
397,Coverage B,Liability,Utility Update ,table:Utility.Liability,UtilElec
398,Coverage B,Liability,Utility Update ,table:Utility.Liability,UtilHeat
399,Coverage B,Liability,Utility Update ,table:Utility.Liability,UtilPlumb
400,Coverage B,Liability,Multipolicy Discount,table:MultipolicyDiscount.Liability,Multipol
401,Coverage B,Liability,Fortified,table:Fortified.Liability,Fortified
402,Coverage B,Liability,Protective Devices (incl Smart Farm),table:ProtectiveDevices.Liability,ProtDev
403,Coverage B,Liability,Wind Mitigation,table:Wind Mitigation.Liability,
404,Coverage B,Liability,Policy Size Relativity,table:PolicySizeRelativity.Liability,CovAPSR
405,Coverage B,Liability,Coverage Modification,table:CovModLimit.Liability,CovAMod
406,Coverage B,Liability,Brushfire,table:Brushfire.Liability,
407,Coverage B,Liability,Solid Fuel Heating Device Surcharge,table:SolidFuel.Liability,SolidFuel
408,Coverage B,Liability,Foundation Type,table:FoundationType.Liability,Foundation
409,Coverage B,Liability,ACV Roof,table:ACVRoof.Liability,ACVRoof
410,Coverage B,Liability,All Peril Deductible,table:All Perils Deductible.Liability,APDed
411,Coverage B,Liability,Wind Hail Deductible,table:WHDeductible.Liability,WHDed
412,Coverage B,Liability,Occupancy,table:Occupancy.Liability,Occupancy
413,Coverage B,Liability,Employee Discount,table:EmployeeDiscount,EmployDisc
414,Coverage B,Liability,IRPM Factor,IFactor,
415,Coverage B,Liability,Transfer Plan Factor,,
416,Coverage B,Hail,Base Rate,table:BaseRate.Hail,BaseRate
417,Coverage B,Hail,Territory Relativities,table:Territory Relativities.Hail,TerrRel
418,Coverage B,Hail,WindHail Excl,table:Wind Hail Exclusion.Hail,WHExcl
419,Coverage B,Hail,Distance to Coast,table:Distance To Coast.Hail,
420,Coverage B,Hail,Acreage,table:Acreage.Hail,Acres
421,Coverage B,Hail,Farm Type,table:Farm_Type.Hail,FarmType
422,Coverage B,Hail,Credit,table:Credit.Hail,Credit
423,Coverage B,Hail,Protection Class,table:Protection Class.Hail,PC
424,Coverage B,Hail,Miles to Fire Department,table:Miles To Fire Department.Hail,MilesToDept
425,Coverage B,Hail,Construction Type,table:Construction Materials for All.Hail,Constr
426,Coverage B,Hail,Number of Families,table:Number Of Families.Hail,NumFam
427,Coverage B,Hail,TownRowhouse,table:TownRowHouse.Hail,TownRow
428,Coverage B,Hail,Stories and Square Feet,table:Sq Feet Stories.Hail,StorSqFt
429,Coverage B,Hail,Replacement Cost Per Sq Foot,table:Repl Cost Sq Ft.Hail,CovARPC
430,Coverage B,Hail,Number of Bathrooms,table:Bathrooms.Hail,NumBaths
431,Coverage B,Hail,Garage Factor,table:Garage Factor.Hail,Garages
432,Coverage B,Hail,Dwelling Claims Factor,,DwellClaims
433,Coverage B,Hail,Farming Claims Factor,table:Farming Claims Factor.Hail,FarmClaims
434,Coverage B,Hail,New Business Loss Experience Factor,,
435,Coverage B,Hail,Pool Liability,table:Pool.Hail,Pool
436,Coverage B,Hail,Trampoline Liability,table:Trampoline.Hail,Trampoline
437,Coverage B,Hail,Perils Factor,table:Perils.Hail,Perils
438,Coverage B,Hail,Age of Dwelling,,AOD
439,Coverage B,Hail,Dwelling Year Built Factor,table:Dwelling Year Built Factor.Hail,DwellYrBuilt
440,Coverage B,Hail,"Age of Roof, Roof Construction",table:AoR.Hail,AOR
441,Coverage B,Hail,Roof Shape,table:RoofShape.Hail,RoofShape
442,Coverage B,Hail,Roof Exclusion,table:RoofExclusion.Hail,RoofExcl
443,Coverage B,Hail,Utility Update ,table:Utility.Hail,UtilElec
444,Coverage B,Hail,Utility Update ,table:Utility.Hail,UtilHeat
445,Coverage B,Hail,Utility Update ,table:Utility.Hail,UtilPlumb
446,Coverage B,Hail,Multipolicy Discount,table:MultipolicyDiscount.Hail,Multipol
447,Coverage B,Hail,Fortified,table:Fortified.Hail,Fortified
448,Coverage B,Hail,Protective Devices (incl Smart Farm),table:ProtectiveDevices.Hail,ProtDev
449,Coverage B,Hail,Wind Mitigation,table:Wind Mitigation.Hail,
450,Coverage B,Hail,Policy Size Relativity,table:PolicySizeRelativity.Hail,CovAPSR
451,Coverage B,Hail,Coverage Modification,table:CovModLimit.Hail,CovAMod
452,Coverage B,Hail,Brushfire,table:Brushfire.Hail,
453,Coverage B,Hail,Solid Fuel Heating Device Surcharge,table:SolidFuel.Hail,SolidFuel
454,Coverage B,Hail,Foundation Type,table:FoundationType.Hail,Foundation
455,Coverage B,Hail,ACV Roof,table:ACVRoof.Hail,ACVRoof
456,Coverage B,Hail,All Peril Deductible,table:All Perils Deductible.Hail,APDed
457,Coverage B,Hail,Wind Hail Deductible,table:WHDeductible.Hail,WHDed
458,Coverage B,Hail,Occupancy,table:Occupancy.Hail,Occupancy
459,Coverage B,Hail,Employee Discount,table:EmployeeDiscount,EmployDisc
460,Coverage B,Hail,IRPM Factor,IFactor,
461,Coverage B,Hail,Transfer Plan Factor,,
462,Coverage B,Water,Base Rate,table:BaseRate.Water,BaseRate
463,Coverage B,Water,Territory Relativities,table:Territory Relativities.Water,TerrRel
464,Coverage B,Water,WindHail Excl,table:Wind Hail Exclusion.Water,WHExcl
465,Coverage B,Water,Distance to Coast,table:Distance To Coast.Water,
466,Coverage B,Water,Acreage,table:Acreage.Water,Acres
467,Coverage B,Water,Farm Type,table:Farm_Type.Water,FarmType
468,Coverage B,Water,Credit,table:Credit.Water,Credit
469,Coverage B,Water,Protection Class,table:Protection Class.Water,PC
470,Coverage B,Water,Miles to Fire Department,table:Miles To Fire Department.Water,MilesToDept
471,Coverage B,Water,Construction Type,table:Construction Materials for All.Water,Constr
472,Coverage B,Water,Number of Families,table:Number Of Families.Water,NumFam
473,Coverage B,Water,TownRowhouse,table:TownRowHouse.Water,TownRow
474,Coverage B,Water,Stories and Square Feet,table:Sq Feet Stories.Water,StorSqFt
475,Coverage B,Water,Replacement Cost Per Sq Foot,table:Repl Cost Sq Ft.Water,CovARPC
476,Coverage B,Water,Number of Bathrooms,table:Bathrooms.Water,NumBaths
477,Coverage B,Water,Garage Factor,table:Garage Factor.Water,Garages
478,Coverage B,Water,Dwelling Claims Factor,,DwellClaims
479,Coverage B,Water,Farming Claims Factor,table:Farming Claims Factor.Water,FarmClaims
480,Coverage B,Water,New Business Loss Experience Factor,,
481,Coverage B,Water,Pool Liability,table:Pool.Water,Pool
482,Coverage B,Water,Trampoline Liability,table:Trampoline.Water,Trampoline
483,Coverage B,Water,Perils Factor,table:Perils.Water,Perils
484,Coverage B,Water,Age of Dwelling,,AOD
485,Coverage B,Water,Dwelling Year Built Factor,table:Dwelling Year Built Factor.Water,DwellYrBuilt
486,Coverage B,Water,"Age of Roof, Roof Construction",table:AoR.Water,AOR
487,Coverage B,Water,Roof Shape,table:RoofShape.Water,RoofShape
488,Coverage B,Water,Roof Exclusion,table:RoofExclusion.Water,RoofExcl
489,Coverage B,Water,Utility Update ,table:Utility.Water,UtilElec
490,Coverage B,Water,Utility Update ,table:Utility.Water,UtilHeat
491,Coverage B,Water,Utility Update ,table:Utility.Water,UtilPlumb
492,Coverage B,Water,Multipolicy Discount,table:MultipolicyDiscount.Water,Multipol
493,Coverage B,Water,Fortified,table:Fortified.Water,Fortified
494,Coverage B,Water,Protective Devices (incl Smart Farm),table:ProtectiveDevices.Water,ProtDev
495,Coverage B,Water,Wind Mitigation,table:Wind Mitigation.Water,
496,Coverage B,Water,Policy Size Relativity,table:PolicySizeRelativity.Water,CovAPSR
497,Coverage B,Water,Coverage Modification,,
498,Coverage B,Water,Brushfire,table:Brushfire.Water,
499,Coverage B,Water,Solid Fuel Heating Device Surcharge,table:SolidFuel.Water,SolidFuel
500,Coverage B,Water,Foundation Type,table:FoundationType.Water,Foundation
501,Coverage B,Water,ACV Roof,table:ACVRoof.Water,ACVRoof
502,Coverage B,Water,All Peril Deductible,table:All Perils Deductible.Water,APDed
503,Coverage B,Water,Wind Hail Deductible,table:WHDeductible.Water,WHDed
504,Coverage B,Water,Occupancy,table:Occupancy.Water,Occupancy
505,Coverage B,Water,Employee Discount,table:EmployeeDiscount,EmployDisc
506,Coverage B,Water,IRPM Factor,IFactor,
507,Coverage B,Water,Transfer Plan Factor,,
508,Coverage B,Theft,Base Rate,table:BaseRate.Theft,BaseRate
509,Coverage B,Theft,Territory Relativities,table:Territory Relativities.Theft,TerrRel
510,Coverage B,Theft,WindHail Excl,table:Wind Hail Exclusion.Theft,WHExcl
511,Coverage B,Theft,Distance to Coast,table:Distance To Coast.Theft,
512,Coverage B,Theft,Acreage,table:Acreage.Theft,Acres
513,Coverage B,Theft,Farm Type,table:Farm_Type.Theft,FarmType
514,Coverage B,Theft,Credit,table:Credit.Theft,Credit
515,Coverage B,Theft,Protection Class,table:Protection Class.Theft,PC
516,Coverage B,Theft,Miles to Fire Department,table:Miles To Fire Department.Theft,MilesToDept
517,Coverage B,Theft,Construction Type,table:Construction Materials for All.Theft,Constr
518,Coverage B,Theft,Number of Families,table:Number Of Families.Theft,NumFam
519,Coverage B,Theft,TownRowhouse,table:TownRowHouse.Theft,TownRow
520,Coverage B,Theft,Stories and Square Feet,table:Sq Feet Stories.Theft,StorSqFt
521,Coverage B,Theft,Replacement Cost Per Sq Foot,table:Repl Cost Sq Ft.Theft,CovARPC
522,Coverage B,Theft,Number of Bathrooms,table:Bathrooms.Theft,NumBaths
523,Coverage B,Theft,Garage Factor,table:Garage Factor.Theft,Garages
524,Coverage B,Theft,Dwelling Claims Factor,,DwellClaims
525,Coverage B,Theft,Farming Claims Factor,table:Farming Claims Factor.Theft,FarmClaims
526,Coverage B,Theft,New Business Loss Experience Factor,,
527,Coverage B,Theft,Pool Liability,table:Pool.Theft,Pool
528,Coverage B,Theft,Trampoline Liability,table:Trampoline.Theft,Trampoline
529,Coverage B,Theft,Perils Factor,table:Perils.Theft,Perils
530,Coverage B,Theft,Age of Dwelling,,AOD
531,Coverage B,Theft,Dwelling Year Built Factor,table:Dwelling Year Built Factor.Theft,DwellYrBuilt
532,Coverage B,Theft,"Age of Roof, Roof Construction",table:AoR.Theft,AOR
533,Coverage B,Theft,Roof Shape,table:RoofShape.Theft,RoofShape
534,Coverage B,Theft,Roof Exclusion,table:RoofExclusion.Theft,RoofExcl
535,Coverage B,Theft,Utility Update ,table:Utility.Theft,UtilElec
536,Coverage B,Theft,Utility Update ,table:Utility.Theft,UtilHeat
537,Coverage B,Theft,Utility Update ,table:Utility.Theft,UtilPlumb
538,Coverage B,Theft,Multipolicy Discount,table:MultipolicyDiscount.Theft,Multipol
539,Coverage B,Theft,Fortified,table:Fortified.Theft,Fortified
540,Coverage B,Theft,Protective Devices (incl Smart Farm),table:ProtectiveDevices.Theft,ProtDev
541,Coverage B,Theft,Wind Mitigation,table:Wind Mitigation.Theft,
542,Coverage B,Theft,Policy Size Relativity,table:PolicySizeRelativity.Theft,CovAPSR
543,Coverage B,Theft,Coverage Modification,,
544,Coverage B,Theft,Brushfire,table:Brushfire.Theft,
545,Coverage B,Theft,Solid Fuel Heating Device Surcharge,table:SolidFuel.Theft,SolidFuel
546,Coverage B,Theft,Foundation Type,table:FoundationType.Theft,Foundation
547,Coverage B,Theft,ACV Roof,table:ACVRoof.Theft,ACVRoof
548,Coverage B,Theft,All Peril Deductible,table:All Perils Deductible.Theft,APDed
549,Coverage B,Theft,Wind Hail Deductible,table:WHDeductible.Theft,WHDed
550,Coverage B,Theft,Occupancy,table:Occupancy.Theft,Occupancy
551,Coverage B,Theft,Employee Discount,table:EmployeeDiscount,EmployDisc
552,Coverage B,Theft,IRPM Factor,IFactor,
553,Coverage B,Theft,Transfer Plan Factor,,
554,Coverage B,Fire,Base Rate,table:BaseRate.Fire,BaseRate
555,Coverage B,Fire,Territory Relativities,table:Territory Relativities.Fire,TerrRel
556,Coverage B,Fire,WindHail Excl,table:Wind Hail Exclusion.Fire,WHExcl
557,Coverage B,Fire,Distance to Coast,table:Distance To Coast.Fire,
558,Coverage B,Fire,Acreage,table:Acreage.Fire,Acres
559,Coverage B,Fire,Farm Type,table:Farm_Type.Fire,FarmType
560,Coverage B,Fire,Credit,table:Credit.Fire,Credit
561,Coverage B,Fire,Protection Class,table:Protection Class.Fire,PC
562,Coverage B,Fire,Miles to Fire Department,table:Miles To Fire Department.Fire,MilesToDept
563,Coverage B,Fire,Construction Type,table:Construction Materials for All.Fire,Constr
564,Coverage B,Fire,Number of Families,table:Number Of Families.Fire,NumFam
565,Coverage B,Fire,TownRowhouse,table:TownRowHouse.Fire,TownRow
566,Coverage B,Fire,Stories and Square Feet,table:Sq Feet Stories.Fire,StorSqFt
567,Coverage B,Fire,Replacement Cost Per Sq Foot,table:Repl Cost Sq Ft.Fire,CovARPC
568,Coverage B,Fire,Number of Bathrooms,FireLiability,NumBaths
569,Coverage B,Fire,Garage Factor,table:Garage Factor.Fire,Garages
570,Coverage B,Fire,Dwelling Claims Factor,,DwellClaims
571,Coverage B,Fire,Farming Claims Factor,table:Farming Claims Factor.Fire,FarmClaims
572,Coverage B,Fire,New Business Loss Experience Factor,,
573,Coverage B,Fire,Pool Liability,table:Pool.Fire,Pool
574,Coverage B,Fire,Trampoline Liability,table:Trampoline.Fire,Trampoline
575,Coverage B,Fire,Perils Factor,table:Perils.Fire,Perils
576,Coverage B,Fire,Age of Dwelling,,AOD
577,Coverage B,Fire,Dwelling Year Built Factor,table:Dwelling Year Built Factor.Fire,DwellYrBuilt
578,Coverage B,Fire,"Age of Roof, Roof Construction",table:AoR.Fire,AOR
579,Coverage B,Fire,Roof Shape,table:RoofShape.Fire,RoofShape
580,Coverage B,Fire,Roof Exclusion,table:RoofExclusion.Fire,RoofExcl
581,Coverage B,Fire,Utility Update , table:Utility.Fire,UtilElec
582,Coverage B,Fire,Utility Update , table:Utility.Fire,UtilHeat
583,Coverage B,Fire,Utility Update , table:Utility.Fire,UtilPlumb
584,Coverage B,Fire,Multipolicy Discount,table:MultipolicyDiscount.Fire,Multipol
585,Coverage B,Fire,Fortified,table:Fortified.Fire,Fortified
586,Coverage B,Fire,Protective Devices (incl Smart Farm),table:ProtectiveDevices.Fire,ProtDev
587,Coverage B,Fire,Wind Mitigation,table:Wind Mitigation.Fire,
588,Coverage B,Fire,Policy Size Relativity,table:PolicySizeRelativity.Fire,CovAPSR
589,Coverage B,Fire,Coverage Modification,,
590,Coverage B,Fire,Brushfire,table:Brushfire.Fire,
591,Coverage B,Fire,Solid Fuel Heating Device Surcharge,table:SolidFuel.Fire,SolidFuel
592,Coverage B,Fire,Foundation Type,table:FoundationType.Fire,Foundation
593,Coverage B,Fire,ACV Roof,table:ACVRoof.Fire,ACVRoof
594,Coverage B,Fire,All Peril Deductible,table:All Perils Deductible.Fire,APDed
595,Coverage B,Fire,Wind Hail Deductible,table:WHDeductible.Fire,WHDed
596,Coverage B,Fire,Occupancy,table:Occupancy.Fire,Occupancy
597,Coverage B,Fire,Employee Discount,table:EmployeeDiscount,EmployDisc
598,Coverage B,Fire,IRPM Factor,IFactor,
599,Coverage B,Fire,Transfer Plan Factor,,
600,Coverage B,Hurricane,Base Rate,table:BaseRate.Hurricane,BaseRate
601,Coverage B,Hurricane,Territory Relativities,table:Territory Relativities.Hurricane,TerrRel
602,Coverage B,Hurricane,WindHail Excl,table:Wind Hail Exclusion.Hurricane,WHExcl
603,Coverage B,Hurricane,Distance to Coast,table:Distance To Coast.Hurricane,
604,Coverage B,Hurricane,Acreage,table:Acreage.Hurricane,Acres
605,Coverage B,Hurricane,Farm Type,table:Farm_Type.Hurricane,FarmType
606,Coverage B,Hurricane,Credit,table:Credit.Hurricane,Credit
607,Coverage B,Hurricane,Protection Class,table:Protection Class.Hurricane,PC
608,Coverage B,Hurricane,Miles to Fire Department,table:Miles To Fire Department.Hurricane,MilesToDept
609,Coverage B,Hurricane,Construction Type,table:Construction Materials for All.Hurricane,Constr
610,Coverage B,Hurricane,Number of Families,table:Number Of Families.Hurricane,NumFam
611,Coverage B,Hurricane,TownRowhouse,table:TownRowHouse.Hurricane,TownRow
612,Coverage B,Hurricane,Stories and Square Feet,table:Sq Feet Stories.Hurricane,StorSqFt
613,Coverage B,Hurricane,Replacement Cost Per Sq Foot,table:Repl Cost Sq Ft.Hurricane,CovARPC
614,Coverage B,Hurricane,Number of Bathrooms,table:Bathrooms.Hurricane,NumBaths
615,Coverage B,Hurricane,Garage Factor,table:Garage Factor.Hurricane,Garages
616,Coverage B,Hurricane,Dwelling Claims Factor,,DwellClaims
617,Coverage B,Hurricane,Farming Claims Factor,table:Farming Claims Factor.Hurricane,FarmClaims
618,Coverage B,Hurricane,New Business Loss Experience Factor,,
619,Coverage B,Hurricane,Pool Liability,table:Pool.Hurricane,Pool
620,Coverage B,Hurricane,Trampoline Liability,table:Trampoline.Hurricane,Trampoline
621,Coverage B,Hurricane,Perils Factor,table:Perils.Hurricane,Perils
622,Coverage B,Hurricane,Age of Dwelling,,AOD
623,Coverage B,Hurricane,Dwelling Year Built Factor,table:Dwelling Year Built Factor.Hurricane,DwellYrBuilt
624,Coverage B,Hurricane,"Age of Roof, Roof Construction",table:AoR.Hurricane,AOR
625,Coverage B,Hurricane,Roof Shape,table:RoofShape.Hurricane,RoofShape
626,Coverage B,Hurricane,Roof Exclusion,table:RoofExclusion.Hurricane,RoofExcl
627,Coverage B,Hurricane,Utility Update ,table:Utility.Hurricane,UtilElec
628,Coverage B,Hurricane,Utility Update ,table:Utility.Hurricane,UtilHeat
629,Coverage B,Hurricane,Utility Update ,table:Utility.Hurricane,UtilPlumb
630,Coverage B,Hurricane,Multipolicy Discount,table:MultipolicyDiscount.Hurricane,Multipol
631,Coverage B,Hurricane,Fortified,table:Fortified.Hurricane,Fortified
632,Coverage B,Hurricane,Protective Devices (incl Smart Farm),table:ProtectiveDevices.Hurricane,ProtDev
633,Coverage B,Hurricane,Wind Mitigation,table:Wind Mitigation.Hurricane,
634,Coverage B,Hurricane,Policy Size Relativity,table:PolicySizeRelativity.Hurricane,CovAPSR
635,Coverage B,Hurricane,Coverage Modification,,
636,Coverage B,Hurricane,Brushfire,table:Brushfire.Hurricane,
637,Coverage B,Hurricane,Solid Fuel Heating Device Surcharge,table:SolidFuel.Hurricane,SolidFuel
638,Coverage B,Hurricane,Foundation Type,table:FoundationType.Hurricane,Foundation
639,Coverage B,Hurricane,ACV Roof,table:ACVRoof.Hurricane,ACVRoof
640,Coverage B,Hurricane,All Peril Deductible,table:All Perils Deductible.Hurricane,APDed
641,Coverage B,Hurricane,Wind Hail Deductible,table:WHDeductible.Hurricane,WHDed
642,Coverage B,Hurricane,Occupancy,table:Occupancy.Hurricane,Occupancy
643,Coverage B,Hurricane,Employee Discount,table:EmployeeDiscount,EmployDisc
644,Coverage B,Hurricane,IRPM Factor,IFactor,
645,Coverage B,Hurricane,Transfer Plan Factor,,
646,Coverage B,Wind,Base Rate,table:BaseRate.Wind,BaseRate
647,Coverage B,Wind,Territory Relativities,table:Territory Relativities.Wind,TerrRel
648,Coverage B,Wind,WindHail Excl,table:Wind Hail Exclusion.Wind,WHExcl
649,Coverage B,Wind,Distance to Coast,table:Distance To Coast.Wind,
650,Coverage B,Wind,Acreage,table:Acreage.Wind,Acres
651,Coverage B,Wind,Farm Type,table:Farm_Type.Wind,FarmType
652,Coverage B,Wind,Credit,table:Credit.Wind,Credit
653,Coverage B,Wind,Protection Class,table:Protection Class.Wind,PC
654,Coverage B,Wind,Miles to Fire Department,table:Miles To Fire Department.Wind,MilesToDept
655,Coverage B,Wind,Construction Type,table:Construction Materials for All.Wind,Constr
656,Coverage B,Wind,Number of Families,table:Number Of Families.Wind,NumFam
657,Coverage B,Wind,TownRowhouse,table:TownRowHouse.Wind,TownRow
658,Coverage B,Wind,Stories and Square Feet,table:Sq Feet Stories.Wind,StorSqFt
659,Coverage B,Wind,Replacement Cost Per Sq Foot,table:Repl Cost Sq Ft.Wind,CovARPC
660,Coverage B,Wind,Number of Bathrooms,table:Bathrooms.Wind,NumBaths
661,Coverage B,Wind,Garage Factor,table:Garage Factor.Wind,Garages
662,Coverage B,Wind,Dwelling Claims Factor,,DwellClaims
663,Coverage B,Wind,Farming Claims Factor,table:Farming Claims Factor.Wind,FarmClaims
664,Coverage B,Wind,New Business Loss Experience Factor,,
665,Coverage B,Wind,Pool Liability,table:Pool.Wind,Pool
666,Coverage B,Wind,Trampoline Liability,table:Trampoline.Wind,Trampoline
667,Coverage B,Wind,Perils Factor,table:Perils.Wind,Perils
668,Coverage B,Wind,Age of Dwelling,,AOD
669,Coverage B,Wind,Dwelling Year Built Factor,table:Dwelling Year Built Factor.Wind,DwellYrBuilt
670,Coverage B,Wind,"Age of Roof, Roof Construction",table:AoR.Wind,AOR
671,Coverage B,Wind,Roof Shape,table:RoofShape.Wind,RoofShape
672,Coverage B,Wind,Roof Exclusion,table:RoofExclusion.Wind,RoofExcl
673,Coverage B,Wind,Utility Update ,table:Utility.Wind,UtilElec
674,Coverage B,Wind,Utility Update ,table:Utility.Wind,UtilHeat
675,Coverage B,Wind,Utility Update ,table:Utility.Wind,UtilPlumb
676,Coverage B,Wind,Multipolicy Discount,table:MultipolicyDiscount.Wind,Multipol
677,Coverage B,Wind,Fortified,table:Fortified.Wind,Fortified
678,Coverage B,Wind,Protective Devices (incl Smart Farm),table:ProtectiveDevices.Wind,ProtDev
679,Coverage B,Wind,Wind Mitigation,table:Wind Mitigation.Wind,
680,Coverage B,Wind,Policy Size Relativity,table:PolicySizeRelativity.Wind,CovAPSR
681,Coverage B,Wind,Coverage Modification,,
682,Coverage B,Wind,Brushfire,table:Brushfire.Wind,
683,Coverage B,Wind,Solid Fuel Heating Device Surcharge,table:SolidFuel.Wind,SolidFuel
684,Coverage B,Wind,Foundation Type,table:FoundationType.Wind,Foundation
685,Coverage B,Wind,ACV Roof,table:ACVRoof.Wind,ACVRoof
686,Coverage B,Wind,All Peril Deductible,table:All Perils Deductible.Wind,APDed
687,Coverage B,Wind,Wind Hail Deductible,table:WHDeductible.Wind,WHDed
688,Coverage B,Wind,Occupancy,table:Occupancy.Wind,Occupancy
689,Coverage B,Wind,Employee Discount,table:EmployeeDiscount,EmployDisc
690,Coverage B,Wind,IRPM Factor,IFactor,
691,Coverage B,Wind,Transfer Plan Factor,,
692,Coverage B,Other,Base Rate,table:BaseRate.Other,BaseRate
693,Coverage B,Other,Territory Relativities,table:Territory Relativities.Other,TerrRel
694,Coverage B,Other,WindHail Excl,table:Wind Hail Exclusion.Other,WHExcl
695,Coverage B,Other,Distance to Coast,table:Distance To Coast.Other,
696,Coverage B,Other,Acreage,table:Acreage.Other,Acres
697,Coverage B,Other,Farm Type,table:Farm_Type.Other,FarmType
698,Coverage B,Other,Credit,table:Credit.Other,Credit
699,Coverage B,Other,Protection Class,table:Protection Class.Other,PC
700,Coverage B,Other,Miles to Fire Department,table:Miles To Fire Department.Other,MilesToDept
701,Coverage B,Other,Construction Type,table:Construction Materials for All.Other,Constr
702,Coverage B,Other,Number of Families,table:Number Of Families.Other,NumFam
703,Coverage B,Other,TownRowhouse,table:TownRowHouse.Other,TownRow
704,Coverage B,Other,Stories and Square Feet,table:Sq Feet Stories.Other,StorSqFt
705,Coverage B,Other,Replacement Cost Per Sq Foot,table:Repl Cost Sq Ft.Other,CovARPC
706,Coverage B,Other,Number of Bathrooms,table:Bathrooms.Other,NumBaths
707,Coverage B,Other,Garage Factor,table:Garage Factor.Other,Garages
708,Coverage B,Other,Dwelling Claims Factor,,DwellClaims
709,Coverage B,Other,Farming Claims Factor,table:Farming Claims Factor.Other,FarmClaims
710,Coverage B,Other,New Business Loss Experience Factor,,
711,Coverage B,Other,Pool Liability,table:Pool.Other,Pool
712,Coverage B,Other,Trampoline Liability,table:Trampoline.Other,Trampoline
713,Coverage B,Other,Perils Factor,table:Perils.Other,Perils
714,Coverage B,Other,Age of Dwelling,,AOD
715,Coverage B,Other,Dwelling Year Built Factor,table:Dwelling Year Built Factor.Other,DwellYrBuilt
716,Coverage B,Other,"Age of Roof, Roof Construction",table:AoR.Other,AOR
717,Coverage B,Other,Roof Shape,table:RoofShape.Other,RoofShape
718,Coverage B,Other,Roof Exclusion,table:RoofExclusion.Other,RoofExcl
719,Coverage B,Other,Utility Update ,table:Utility.Other,UtilElec
720,Coverage B,Other,Utility Update ,table:Utility.Other,UtilHeat
721,Coverage B,Other,Utility Update ,table:Utility.Other,UtilPlumb
722,Coverage B,Other,Multipolicy Discount,table:MultipolicyDiscount.Other,Multipol
723,Coverage B,Other,Fortified,table:Fortified.Other,Fortified
724,Coverage B,Other,Protective Devices (incl Smart Farm),table:ProtectiveDevices.Other,ProtDev
725,Coverage B,Other,Wind Mitigation,table:Wind Mitigation.Other,
726,Coverage B,Other,Policy Size Relativity,table:PolicySizeRelativity.Other,CovAPSR
727,Coverage B,Other,Coverage Modification,,
728,Coverage B,Other,Brushfire,table:Brushfire.Other,
729,Coverage B,Other,Solid Fuel Heating Device Surcharge,table:SolidFuel.Other,SolidFuel
730,Coverage B,Other,Foundation Type,table:FoundationType.Other,Foundation
731,Coverage B,Other,ACV Roof,table:ACVRoof.Other,ACVRoof
732,Coverage B,Other,All Peril Deductible,table:All Perils Deductible.Other,APDed
733,Coverage B,Other,Wind Hail Deductible,table:WHDeductible.Other,WHDed
734,Coverage B,Other,Occupancy,table:Occupancy.Other,Occupancy
735,Coverage B,Other,Employee Discount,table:EmployeeDiscount,EmployDisc
