S.No.,Coverage_Name,Perils,Rating_Factors_Algorithm,Rating_Factors_PC_worksheet,Rating_Factors_Expected
357,Coverage A,Other,Wind Mitigation,table:Wind Mitigation.Other,
358,Coverage A,Other,Policy Size Relativity,table:PolicySizeRelativity.Other,CovAPSR
359,Coverage A,Other,Coverage Modification,CoverageInfo.CovModLimit,CovAMod
360,Coverage A,Other,Brushfire,table:Brushfire.Other,
361,Coverage A,Other,Solid Fuel Heating Device Surcharge,table:SolidFuel.Other,SolidFuel
362,Coverage A,Other,Foundation Type,table:FoundationType.Other,Foundation
363,Coverage A,Other,ACV Roof,table:ACVRoof.Other,ACVRoof
364,Coverage A,Other,All Peril Deductible,table:All Perils Deductible.Other,APDed
365,Coverage A,Other,Wind Hail Deductible,table:WHDeductible.Other,WHDed
366,Coverage A,Other,Occupancy,table:Occupancy.Other,Occupancy
367,Coverage A,Other,Employee Discount,table:EmployeeDiscount,EmployDisc
368,Coverage A,Other,IRPM Factor,IFactor,
369,Coverage A,Other,Fixed Expense,table:Fixed Expense.Other,FixedExp
370,Coverage B,Liability,Base Rate,table:BaseRate.Liability,BaseRate
371,Coverage B,Liability,Territory Relativities,table:Territory Relativities.Liability,TerrRel
372,Coverage B,Liability,WindHail Excl,table:Wind Hail Exclusion.Liability,WHExcl
373,Coverage B,Liability,Distance to Coast,table:Distance To Coast.Liability,
374,Coverage B,Liability,Acreage,table:Acreage.Liability,Acres
375,Coverage B,Liability,Farm Type,table:Farm_Type.Liability,FarmType
376,Coverage B,Liability,Credit,table:Credit.Liability,Credit
377,Coverage B,Liability,Protection Class,table:Protection Class.Liability,PC
378,Coverage B,Liability,Miles to Fire Department,table:Miles To Fire Department.Liability,MilesToDept
379,Coverage B,Liability,Construction Type,table:Construction Materials for All.Liability,Constr
380,Coverage B,Liability,Number of Families,table:Number Of Families.Liability,NumFam
381,Coverage B,Liability,TownRowhouse,table:TownRowHouse.Liability,TownRow
382,Coverage B,Liability,Stories and Square Feet,table:Sq Feet Stories.Liability,StorSqFt
383,Coverage B,Liability,Replacement Cost Per Sq Foot,table:Repl Cost Sq Ft.Liability,RPCSqFt
384,Coverage B,Liability,Number of Bathrooms,table:Bathrooms.Liability,NumBaths
385,Coverage B,Liability,Garage Factor,table:Garage Factor.Liability,Garages
386,Coverage B,Liability,Dwelling Claims Factor,,DwellClaims
387,Coverage B,Liability,Farming Claims Factor,table:Farming Claims Factor.Liability,FarmClaims
388,Coverage B,Liability,New Business Loss Experience Factor,,
389,Coverage B,Liability,Pool Liability,table:Pool.Liability,Pool
390,Coverage B,Liability,Trampoline Liability,table:Trampoline.Liability,Trampoline
391,Coverage B,Liability,Perils Factor,table:Perils.Liability,Perils
392,Coverage B,Liability,Age of Dwelling,table:Dwelling_Age.Liability,AOD
393,Coverage B,Liability,Dwelling Year Built Factor,table:Dwelling Year Built Factor.Liability,DwellYrBuilt
394,Coverage B,Liability,"Age of Roof, Roof Construction",table:AoR.Liability,AOR
395,Coverage B,Liability,Roof Shape,table:RoofShape.Liability,RoofShape
396,Coverage B,Liability,Roof Exclusion,table:RoofExclusion.Liability,RoofExcl
397,Coverage B,Liability,Utility Update ,table:Utility.Liability,UtilElec
398,Coverage B,Liability,Utility Update ,table:Utility.Liability,UtilHeat
399,Coverage B,Liability,Utility Update ,table:Utility.Liability,UtilPlumb
400,Coverage B,Liability,Multipolicy Discount,table:MultipolicyDiscount.Liability,Multipol
401,Coverage B,Liability,Fortified,table:Fortified.Liability,Fortified
402,Coverage B,Liability,Protective Devices (incl Smart Farm),FinalFactor,ProtDev
403,Coverage B,Liability,Wind Mitigation,table:Wind Mitigation.Liability,
404,Coverage B,Liability,Policy Size Relativity,table:PolicySizeRelativity.Liability,CovAPSR
405,Coverage B,Liability,Coverage Modification,CoverageInfo.CovModLimit,CovAMod
406,Coverage B,Liability,Brushfire,table:Brushfire.Liability,
407,Coverage B,Liability,Solid Fuel Heating Device Surcharge,table:SolidFuel.Liability,SolidFuel
408,Coverage B,Liability,Foundation Type,table:FoundationType.Liability,Foundation
409,Coverage B,Liability,ACV Roof,table:ACVRoof.Liability,ACVRoof
410,Coverage B,Liability,All Peril Deductible,table:All Perils Deductible.Liability,APDed
411,Coverage B,Liability,Wind Hail Deductible,table:WHDeductible.Liability,WHDed
412,Coverage B,Liability,Occupancy,table:Occupancy.Liability,Occupancy
413,Coverage B,Liability,Employee Discount,table:EmployeeDiscount,EmployDisc
414,Coverage B,Liability,IRPM Factor,IFactor,
415,Coverage B,Liability,Fixed Expense,table:Fixed Expense.Liability,FixedExp
416,Coverage B,Liability,,TermAmount,CovBPrem
,Coverage B,Hail,,TermAmount,CovBPrem
417,Coverage B,Hail,Base Rate,table:BaseRate.Hail,BaseRate
418,Coverage B,Hail,Territory Relativities,table:Territory Relativities.Hail,TerrRel
419,Coverage B,Hail,WindHail Excl,table:Wind Hail Exclusion.Hail,WHExcl
420,Coverage B,Hail,Distance to Coast,table:Distance To Coast.Hail,
421,Coverage B,Hail,Acreage,table:Acreage.Hail,Acres
422,Coverage B,Hail,Farm Type,table:Farm_Type.Hail,FarmType
423,Coverage B,Hail,Credit,table:Credit.Hail,Credit
424,Coverage B,Hail,Protection Class,table:Protection Class.Hail,PC
425,Coverage B,Hail,Miles to Fire Department,table:Miles To Fire Department.Hail,MilesToDept
426,Coverage B,Hail,Construction Type,table:Construction Materials for All.Hail,Constr
427,Coverage B,Hail,Number of Families,table:Number Of Families.Hail,NumFam
428,Coverage B,Hail,TownRowhouse,table:TownRowHouse.Hail,TownRow
429,Coverage B,Hail,Stories and Square Feet,table:Sq Feet Stories.Hail,StorSqFt
430,Coverage B,Hail,Replacement Cost Per Sq Foot,table:Repl Cost Sq Ft.Hail,RPCSqFt
431,Coverage B,Hail,Number of Bathrooms,table:Bathrooms.Hail,NumBaths
432,Coverage B,Hail,Garage Factor,table:Garage Factor.Hail,Garages
433,Coverage B,Hail,Dwelling Claims Factor,,DwellClaims
434,Coverage B,Hail,Farming Claims Factor,table:Farming Claims Factor.Hail,FarmClaims
435,Coverage B,Hail,New Business Loss Experience Factor,,
436,Coverage B,Hail,Pool Liability,table:Pool.Hail,Pool
437,Coverage B,Hail,Trampoline Liability,table:Trampoline.Hail,Trampoline
438,Coverage B,Hail,Perils Factor,table:Perils.Hail,Perils
439,Coverage B,Hail,Age of Dwelling,table:Dwelling_Age.Hail,AOD
440,Coverage B,Hail,Dwelling Year Built Factor,table:Dwelling Year Built Factor.Hail,DwellYrBuilt
441,Coverage B,Hail,"Age of Roof, Roof Construction",table:AoR.Hail,AOR
442,Coverage B,Hail,Roof Shape,table:RoofShape.Hail,RoofShape
443,Coverage B,Hail,Roof Exclusion,table:RoofExclusion.Hail,RoofExcl
444,Coverage B,Hail,Utility Update ,table:Utility.Hail,UtilElec
445,Coverage B,Hail,Utility Update ,table:Utility.Hail,UtilHeat
446,Coverage B,Hail,Utility Update ,table:Utility.Hail,UtilPlumb
447,Coverage B,Hail,Multipolicy Discount,table:MultipolicyDiscount.Hail,Multipol
448,Coverage B,Hail,Fortified,table:Fortified.Hail,Fortified
449,Coverage B,Hail,Protective Devices (incl Smart Farm),FinalFactor,ProtDev
450,Coverage B,Hail,Wind Mitigation,table:Wind Mitigation.Hail,
451,Coverage B,Hail,Policy Size Relativity,table:PolicySizeRelativity.Hail,CovAPSR
452,Coverage B,Hail,Coverage Modification,CoverageInfo.CovModLimit,CovAMod
453,Coverage B,Hail,Brushfire,table:Brushfire.Hail,
454,Coverage B,Hail,Solid Fuel Heating Device Surcharge,table:SolidFuel.Hail,SolidFuel
455,Coverage B,Hail,Foundation Type,table:FoundationType.Hail,Foundation
456,Coverage B,Hail,ACV Roof,table:ACVRoof.Hail,ACVRoof
457,Coverage B,Hail,All Peril Deductible,table:All Perils Deductible.Hail,APDed
458,Coverage B,Hail,Wind Hail Deductible,table:WHDeductible.Hail,WHDed
459,Coverage B,Hail,Occupancy,table:Occupancy.Hail,Occupancy
460,Coverage B,Hail,Employee Discount,table:EmployeeDiscount,EmployDisc
461,Coverage B,Hail,IRPM Factor,IFactor,
462,Coverage B,Hail,Fixed Expense,table:Fixed Expense.Hail,FixedExp
,Coverage B,Water,,TermAmount,CovBPrem
463,Coverage B,Water,Base Rate,table:BaseRate.Water,BaseRate
464,Coverage B,Water,Territory Relativities,table:Territory Relativities.Water,TerrRel
465,Coverage B,Water,WindHail Excl,table:Wind Hail Exclusion.Water,WHExcl
466,Coverage B,Water,Distance to Coast,table:Distance To Coast.Water,
467,Coverage B,Water,Acreage,table:Acreage.Water,Acres
468,Coverage B,Water,Farm Type,table:Farm_Type.Water,FarmType
469,Coverage B,Water,Credit,table:Credit.Water,Credit
470,Coverage B,Water,Protection Class,table:Protection Class.Water,PC
471,Coverage B,Water,Miles to Fire Department,table:Miles To Fire Department.Water,MilesToDept
472,Coverage B,Water,Construction Type,table:Construction Materials for All.Water,Constr
473,Coverage B,Water,Number of Families,table:Number Of Families.Water,NumFam
474,Coverage B,Water,TownRowhouse,table:TownRowHouse.Water,TownRow
475,Coverage B,Water,Stories and Square Feet,table:Sq Feet Stories.Water,StorSqFt
476,Coverage B,Water,Replacement Cost Per Sq Foot,table:Repl Cost Sq Ft.Water,RPCSqFt
477,Coverage B,Water,Number of Bathrooms,table:Bathrooms.Water,NumBaths
478,Coverage B,Water,Garage Factor,table:Garage Factor.Water,Garages
479,Coverage B,Water,Dwelling Claims Factor,,DwellClaims
480,Coverage B,Water,Farming Claims Factor,table:Farming Claims Factor.Water,FarmClaims
481,Coverage B,Water,New Business Loss Experience Factor,,
482,Coverage B,Water,Pool Liability,table:Pool.Water,Pool
483,Coverage B,Water,Trampoline Liability,table:Trampoline.Water,Trampoline
484,Coverage B,Water,Perils Factor,table:Perils.Water,Perils
485,Coverage B,Water,Age of Dwelling,table:Dwelling_Age.Water,AOD
486,Coverage B,Water,Dwelling Year Built Factor,table:Dwelling Year Built Factor.Water,DwellYrBuilt
487,Coverage B,Water,"Age of Roof, Roof Construction",table:AoR.Water,AOR
488,Coverage B,Water,Roof Shape,table:RoofShape.Water,RoofShape
489,Coverage B,Water,Roof Exclusion,table:RoofExclusion.Water,RoofExcl
490,Coverage B,Water,Utility Update ,table:Utility.Water,UtilElec
491,Coverage B,Water,Utility Update ,table:Utility.Water,UtilHeat
492,Coverage B,Water,Utility Update ,table:Utility.Water,UtilPlumb
493,Coverage B,Water,Multipolicy Discount,table:MultipolicyDiscount.Water,Multipol
494,Coverage B,Water,Fortified,table:Fortified.Water,Fortified
495,Coverage B,Water,Protective Devices (incl Smart Farm),FinalFactor,ProtDev
496,Coverage B,Water,Wind Mitigation,table:Wind Mitigation.Water,
497,Coverage B,Water,Policy Size Relativity,table:PolicySizeRelativity.Water,CovAPSR
498,Coverage B,Water,Coverage Modification,CoverageInfo.CovModLimit,CovAMod
499,Coverage B,Water,Brushfire,table:Brushfire.Water,
500,Coverage B,Water,Solid Fuel Heating Device Surcharge,table:SolidFuel.Water,SolidFuel
501,Coverage B,Water,Foundation Type,table:FoundationType.Water,Foundation
502,Coverage B,Water,ACV Roof,table:ACVRoof.Water,ACVRoof
503,Coverage B,Water,All Peril Deductible,table:All Perils Deductible.Water,APDed
504,Coverage B,Water,Wind Hail Deductible,table:WHDeductible.Water,WHDed
505,Coverage B,Water,Occupancy,table:Occupancy.Water,Occupancy
506,Coverage B,Water,Employee Discount,table:EmployeeDiscount,EmployDisc
507,Coverage B,Water,IRPM Factor,IFactor,
508,Coverage B,Water,Fixed Expense,table:Fixed Expense.Water,FixedExp
,Coverage B,Theft,,TermAmount,CovBPrem
509,Coverage B,Theft,Base Rate,table:BaseRate.Theft,BaseRate
510,Coverage B,Theft,Territory Relativities,table:Territory Relativities.Theft,TerrRel
511,Coverage B,Theft,WindHail Excl,table:Wind Hail Exclusion.Theft,WHExcl
512,Coverage B,Theft,Distance to Coast,table:Distance To Coast.Theft,
513,Coverage B,Theft,Acreage,table:Acreage.Theft,Acres
514,Coverage B,Theft,Farm Type,table:Farm_Type.Theft,FarmType
515,Coverage B,Theft,Credit,table:Credit.Theft,Credit
516,Coverage B,Theft,Protection Class,table:Protection Class.Theft,PC
517,Coverage B,Theft,Miles to Fire Department,table:Miles To Fire Department.Theft,MilesToDept
518,Coverage B,Theft,Construction Type,table:Construction Materials for All.Theft,Constr
519,Coverage B,Theft,Number of Families,table:Number Of Families.Theft,NumFam
520,Coverage B,Theft,TownRowhouse,table:TownRowHouse.Theft,TownRow
521,Coverage B,Theft,Stories and Square Feet,table:Sq Feet Stories.Theft,StorSqFt
522,Coverage B,Theft,Replacement Cost Per Sq Foot,table:Repl Cost Sq Ft.Theft,RPCSqFt
523,Coverage B,Theft,Number of Bathrooms,table:Bathrooms.Theft,NumBaths
524,Coverage B,Theft,Garage Factor,table:Garage Factor.Theft,Garages
525,Coverage B,Theft,Dwelling Claims Factor,,DwellClaims
526,Coverage B,Theft,Farming Claims Factor,table:Farming Claims Factor.Theft,FarmClaims
527,Coverage B,Theft,New Business Loss Experience Factor,,
528,Coverage B,Theft,Pool Liability,table:Pool.Theft,Pool
529,Coverage B,Theft,Trampoline Liability,table:Trampoline.Theft,Trampoline
530,Coverage B,Theft,Perils Factor,table:Perils.Theft,Perils
531,Coverage B,Theft,Age of Dwelling,table:Dwelling_Age.Theft,AOD
532,Coverage B,Theft,Dwelling Year Built Factor,table:Dwelling Year Built Factor.Theft,DwellYrBuilt
533,Coverage B,Theft,"Age of Roof, Roof Construction",table:AoR.Theft,AOR
534,Coverage B,Theft,Roof Shape,table:RoofShape.Theft,RoofShape
535,Coverage B,Theft,Roof Exclusion,table:RoofExclusion.Theft,RoofExcl
536,Coverage B,Theft,Utility Update ,table:Utility.Theft,UtilElec
537,Coverage B,Theft,Utility Update ,table:Utility.Theft,UtilHeat
538,Coverage B,Theft,Utility Update ,table:Utility.Theft,UtilPlumb
539,Coverage B,Theft,Multipolicy Discount,table:MultipolicyDiscount.Theft,Multipol
540,Coverage B,Theft,Fortified,table:Fortified.Theft,Fortified
541,Coverage B,Theft,Protective Devices (incl Smart Farm),FinalFactor,ProtDev
542,Coverage B,Theft,Wind Mitigation,table:Wind Mitigation.Theft,
543,Coverage B,Theft,Policy Size Relativity,table:PolicySizeRelativity.Theft,CovAPSR
544,Coverage B,Theft,Coverage Modification,CoverageInfo.CovModLimit,CovAMod
545,Coverage B,Theft,Brushfire,table:Brushfire.Theft,
546,Coverage B,Theft,Solid Fuel Heating Device Surcharge,table:SolidFuel.Theft,SolidFuel
547,Coverage B,Theft,Foundation Type,table:FoundationType.Theft,Foundation
548,Coverage B,Theft,ACV Roof,table:ACVRoof.Theft,ACVRoof
549,Coverage B,Theft,All Peril Deductible,table:All Perils Deductible.Theft,APDed
550,Coverage B,Theft,Wind Hail Deductible,table:WHDeductible.Theft,WHDed
551,Coverage B,Theft,Occupancy,table:Occupancy.Theft,Occupancy
552,Coverage B,Theft,Employee Discount,table:EmployeeDiscount,EmployDisc
553,Coverage B,Theft,IRPM Factor,IFactor,
554,Coverage B,Theft,Fixed Expense,table:Fixed Expense.Theft,FixedExp
,Coverage B,Fire,,TermAmount,CovBPrem
555,Coverage B,Fire,Base Rate,table:BaseRate.Fire,BaseRate
556,Coverage B,Fire,Territory Relativities,table:Territory Relativities.Fire,TerrRel
557,Coverage B,Fire,WindHail Excl,table:Wind Hail Exclusion.Fire,WHExcl
558,Coverage B,Fire,Distance to Coast,table:Distance To Coast.Fire,
559,Coverage B,Fire,Acreage,table:Acreage.Fire,Acres
560,Coverage B,Fire,Farm Type,table:Farm_Type.Fire,FarmType
561,Coverage B,Fire,Credit,table:Credit.Fire,Credit
562,Coverage B,Fire,Protection Class,table:Protection Class.Fire,PC
563,Coverage B,Fire,Miles to Fire Department,table:Miles To Fire Department.Fire,MilesToDept
564,Coverage B,Fire,Construction Type,table:Construction Materials for All.Fire,Constr
565,Coverage B,Fire,Number of Families,table:Number Of Families.Fire,NumFam
566,Coverage B,Fire,TownRowhouse,table:TownRowHouse.Fire,TownRow
567,Coverage B,Fire,Stories and Square Feet,table:Sq Feet Stories.Fire,StorSqFt
568,Coverage B,Fire,Replacement Cost Per Sq Foot,table:Repl Cost Sq Ft.Fire,RPCSqFt
569,Coverage B,Fire,Number of Bathrooms,table:Bathrooms.Fire,NumBaths
570,Coverage B,Fire,Garage Factor,table:Garage Factor.Fire,Garages
571,Coverage B,Fire,Dwelling Claims Factor,,DwellClaims
572,Coverage B,Fire,Farming Claims Factor,table:Farming Claims Factor.Fire,FarmClaims
573,Coverage B,Fire,New Business Loss Experience Factor,,
574,Coverage B,Fire,Pool Liability,table:Pool.Fire,Pool
575,Coverage B,Fire,Trampoline Liability,table:Trampoline.Fire,Trampoline
576,Coverage B,Fire,Perils Factor,table:Perils.Fire,Perils
577,Coverage B,Fire,Age of Dwelling,table:Dwelling_Age.Fire,AOD
578,Coverage B,Fire,Dwelling Year Built Factor,table:Dwelling Year Built Factor.Fire,DwellYrBuilt
579,Coverage B,Fire,"Age of Roof, Roof Construction",table:AoR.Fire,AOR
580,Coverage B,Fire,Roof Shape,table:RoofShape.Fire,RoofShape
581,Coverage B,Fire,Roof Exclusion,table:RoofExclusion.Fire,RoofExcl
582,Coverage B,Fire,Utility Update , table:Utility.Fire,UtilElec
583,Coverage B,Fire,Utility Update , table:Utility.Fire,UtilHeat
584,Coverage B,Fire,Utility Update , table:Utility.Fire,UtilPlumb
585,Coverage B,Fire,Multipolicy Discount,table:MultipolicyDiscount.Fire,Multipol
586,Coverage B,Fire,Fortified,table:Fortified.Fire,Fortified
587,Coverage B,Fire,Protective Devices (incl Smart Farm),FinalFactor,ProtDev
588,Coverage B,Fire,Wind Mitigation,table:Wind Mitigation.Fire,
589,Coverage B,Fire,Policy Size Relativity,table:PolicySizeRelativity.Fire,CovAPSR
590,Coverage B,Fire,Coverage Modification,CoverageInfo.CovModLimit,CovAMod
591,Coverage B,Fire,Brushfire,table:Brushfire.Fire,
592,Coverage B,Fire,Solid Fuel Heating Device Surcharge,table:SolidFuel.Fire,SolidFuel
593,Coverage B,Fire,Foundation Type,table:FoundationType.Fire,Foundation
594,Coverage B,Fire,ACV Roof,table:ACVRoof.Fire,ACVRoof
595,Coverage B,Fire,All Peril Deductible,table:All Perils Deductible.Fire,APDed
596,Coverage B,Fire,Wind Hail Deductible,table:WHDeductible.Fire,WHDed
597,Coverage B,Fire,Occupancy,table:Occupancy.Fire,Occupancy
598,Coverage B,Fire,Employee Discount,table:EmployeeDiscount,EmployDisc
599,Coverage B,Fire,IRPM Factor,IFactor,
600,Coverage B,Fire,Fixed Expense,table:Fixed Expense.Fire,FixedExp
,Coverage B,Hurricane,,TermAmount,CovBPrem
601,Coverage B,Hurricane,Base Rate,table:BaseRate.Hurricane,BaseRate
602,Coverage B,Hurricane,Territory Relativities,table:Territory Relativities.Hurricane,TerrRel
603,Coverage B,Hurricane,WindHail Excl,table:Wind Hail Exclusion.Hurricane,WHExcl
604,Coverage B,Hurricane,Distance to Coast,table:Distance To Coast.Hurricane,
605,Coverage B,Hurricane,Acreage,table:Acreage.Hurricane,Acres
606,Coverage B,Hurricane,Farm Type,table:Farm_Type.Hurricane,FarmType
607,Coverage B,Hurricane,Credit,table:Credit.Hurricane,Credit
608,Coverage B,Hurricane,Protection Class,table:Protection Class.Hurricane,PC
609,Coverage B,Hurricane,Miles to Fire Department,table:Miles To Fire Department.Hurricane,MilesToDept
610,Coverage B,Hurricane,Construction Type,table:Construction Materials for All.Hurricane,Constr
611,Coverage B,Hurricane,Number of Families,table:Number Of Families.Hurricane,NumFam
612,Coverage B,Hurricane,TownRowhouse,table:TownRowHouse.Hurricane,TownRow
613,Coverage B,Hurricane,Stories and Square Feet,table:Sq Feet Stories.Hurricane,StorSqFt
614,Coverage B,Hurricane,Replacement Cost Per Sq Foot,table:Repl Cost Sq Ft.Hurricane,RPCSqFt
615,Coverage B,Hurricane,Number of Bathrooms,table:Bathrooms.Hurricane,NumBaths
616,Coverage B,Hurricane,Garage Factor,table:Garage Factor.Hurricane,Garages
617,Coverage B,Hurricane,Dwelling Claims Factor,,DwellClaims
618,Coverage B,Hurricane,Farming Claims Factor,table:Farming Claims Factor.Hurricane,FarmClaims
619,Coverage B,Hurricane,New Business Loss Experience Factor,,
620,Coverage B,Hurricane,Pool Liability,table:Pool.Hurricane,Pool
621,Coverage B,Hurricane,Trampoline Liability,table:Trampoline.Hurricane,Trampoline
622,Coverage B,Hurricane,Perils Factor,table:Perils.Hurricane,Perils
623,Coverage B,Hurricane,Age of Dwelling,table:Dwelling_Age.Hurricane,AOD
624,Coverage B,Hurricane,Dwelling Year Built Factor,table:Dwelling Year Built Factor.Hurricane,DwellYrBuilt
625,Coverage B,Hurricane,"Age of Roof, Roof Construction",table:AoR.Hurricane,AOR
626,Coverage B,Hurricane,Roof Shape,table:RoofShape.Hurricane,RoofShape
627,Coverage B,Hurricane,Roof Exclusion,table:RoofExclusion.Hurricane,RoofExcl
628,Coverage B,Hurricane,Utility Update ,table:Utility.Hurricane,UtilElec
629,Coverage B,Hurricane,Utility Update ,table:Utility.Hurricane,UtilHeat
630,Coverage B,Hurricane,Utility Update ,table:Utility.Hurricane,UtilPlumb
631,Coverage B,Hurricane,Multipolicy Discount,table:MultipolicyDiscount.Hurricane,Multipol
632,Coverage B,Hurricane,Fortified,table:Fortified.Hurricane,Fortified
633,Coverage B,Hurricane,Protective Devices (incl Smart Farm),FinalFactor,ProtDev
634,Coverage B,Hurricane,Wind Mitigation,table:Wind Mitigation.Hurricane,
635,Coverage B,Hurricane,Policy Size Relativity,table:PolicySizeRelativity.Hurricane,CovAPSR
636,Coverage B,Hurricane,Coverage Modification,CoverageInfo.CovModLimit,CovAMod
637,Coverage B,Hurricane,Brushfire,table:Brushfire.Hurricane,
638,Coverage B,Hurricane,Solid Fuel Heating Device Surcharge,table:SolidFuel.Hurricane,SolidFuel
639,Coverage B,Hurricane,Foundation Type,table:FoundationType.Hurricane,Foundation
640,Coverage B,Hurricane,ACV Roof,table:ACVRoof.Hurricane,ACVRoof
641,Coverage B,Hurricane,All Peril Deductible,table:All Perils Deductible.Hurricane,APDed
642,Coverage B,Hurricane,Wind Hail Deductible,table:WHDeductible.Hurricane,WHDed
643,Coverage B,Hurricane,Occupancy,table:Occupancy.Hurricane,Occupancy
644,Coverage B,Hurricane,Employee Discount,table:EmployeeDiscount,EmployDisc
645,Coverage B,Hurricane,IRPM Factor,IFactor,
646,Coverage B,Hurricane,Fixed Expense,table:Fixed Expense.Hurricane,FixedExp
,Coverage B,Wind,,TermAmount,CovBPrem
647,Coverage B,Wind,Base Rate,table:BaseRate.Wind,BaseRate
648,Coverage B,Wind,Territory Relativities,table:Territory Relativities.Wind,TerrRel
649,Coverage B,Wind,WindHail Excl,table:Wind Hail Exclusion.Wind,WHExcl
650,Coverage B,Wind,Distance to Coast,table:Distance To Coast.Wind,
651,Coverage B,Wind,Acreage,table:Acreage.Wind,Acres
652,Coverage B,Wind,Farm Type,table:Farm_Type.Wind,FarmType
653,Coverage B,Wind,Credit,table:Credit.Wind,Credit
654,Coverage B,Wind,Protection Class,table:Protection Class.Wind,PC
655,Coverage B,Wind,Miles to Fire Department,table:Miles To Fire Department.Wind,MilesToDept
656,Coverage B,Wind,Construction Type,table:Construction Materials for All.Wind,Constr
657,Coverage B,Wind,Number of Families,table:Number Of Families.Wind,NumFam
658,Coverage B,Wind,TownRowhouse,table:TownRowHouse.Wind,TownRow
659,Coverage B,Wind,Stories and Square Feet,table:Sq Feet Stories.Wind,StorSqFt
660,Coverage B,Wind,Replacement Cost Per Sq Foot,table:Repl Cost Sq Ft.Wind,RPCSqFt
661,Coverage B,Wind,Number of Bathrooms,table:Bathrooms.Wind,NumBaths
662,Coverage B,Wind,Garage Factor,table:Garage Factor.Wind,Garages
663,Coverage B,Wind,Dwelling Claims Factor,,DwellClaims
664,Coverage B,Wind,Farming Claims Factor,table:Farming Claims Factor.Wind,FarmClaims
665,Coverage B,Wind,New Business Loss Experience Factor,,
666,Coverage B,Wind,Pool Liability,table:Pool.Wind,Pool
667,Coverage B,Wind,Trampoline Liability,table:Trampoline.Wind,Trampoline
668,Coverage B,Wind,Perils Factor,table:Perils.Wind,Perils
669,Coverage B,Wind,Age of Dwelling,table:Dwelling_Age.Wind,AOD
670,Coverage B,Wind,Dwelling Year Built Factor,table:Dwelling Year Built Factor.Wind,DwellYrBuilt
671,Coverage B,Wind,"Age of Roof, Roof Construction",table:AoR.Wind,AOR
672,Coverage B,Wind,Roof Shape,table:RoofShape.Wind,RoofShape
673,Coverage B,Wind,Roof Exclusion,table:RoofExclusion.Wind,RoofExcl
674,Coverage B,Wind,Utility Update ,table:Utility.Wind,UtilElec
675,Coverage B,Wind,Utility Update ,table:Utility.Wind,UtilHeat
676,Coverage B,Wind,Utility Update ,table:Utility.Wind,UtilPlumb
677,Coverage B,Wind,Multipolicy Discount,table:MultipolicyDiscount.Wind,Multipol
678,Coverage B,Wind,Fortified,table:Fortified.Wind,Fortified
679,Coverage B,Wind,Protective Devices (incl Smart Farm),FinalFactor,ProtDev
680,Coverage B,Wind,Wind Mitigation,table:Wind Mitigation.Wind,
681,Coverage B,Wind,Policy Size Relativity,table:PolicySizeRelativity.Wind,CovAPSR
682,Coverage B,Wind,Coverage Modification,CoverageInfo.CovModLimit,CovAMod
683,Coverage B,Wind,Brushfire,table:Brushfire.Wind,
684,Coverage B,Wind,Solid Fuel Heating Device Surcharge,table:SolidFuel.Wind,SolidFuel
685,Coverage B,Wind,Foundation Type,table:FoundationType.Wind,Foundation
686,Coverage B,Wind,ACV Roof,table:ACVRoof.Wind,ACVRoof
687,Coverage B,Wind,All Peril Deductible,table:All Perils Deductible.Wind,APDed
688,Coverage B,Wind,Wind Hail Deductible,table:WHDeductible.Wind,WHDed
689,Coverage B,Wind,Occupancy,table:Occupancy.Wind,Occupancy
690,Coverage B,Wind,Employee Discount,table:EmployeeDiscount,EmployDisc
691,Coverage B,Wind,IRPM Factor,IFactor,
692,Coverage B,Wind,Fixed Expense,table:Fixed Expense.Wind,FixedExp
,Coverage B,Other,,TermAmount,CovBPrem
693,Coverage B,Other,Base Rate,table:BaseRate.Other,BaseRate
694,Coverage B,Other,Territory Relativities,table:Territory Relativities.Other,TerrRel
695,Coverage B,Other,WindHail Excl,table:Wind Hail Exclusion.Other,WHExcl
696,Coverage B,Other,Distance to Coast,table:Distance To Coast.Other,
697,Coverage B,Other,Acreage,table:Acreage.Other,Acres
698,Coverage B,Other,Farm Type,table:Farm_Type.Other,FarmType
699,Coverage B,Other,Credit,table:Credit.Other,Credit
700,Coverage B,Other,Protection Class,table:Protection Class.Other,PC
701,Coverage B,Other,Miles to Fire Department,table:Miles To Fire Department.Other,MilesToDept
702,Coverage B,Other,Construction Type,table:Construction Materials for All.Other,Constr
703,Coverage B,Other,Number of Families,table:Number Of Families.Other,NumFam
704,Coverage B,Other,TownRowhouse,table:TownRowHouse.Other,TownRow
705,Coverage B,Other,Stories and Square Feet,table:Sq Feet Stories.Other,StorSqFt
706,Coverage B,Other,Replacement Cost Per Sq Foot,table:Repl Cost Sq Ft.Other,RPCSqFt
707,Coverage B,Other,Number of Bathrooms,table:Bathrooms.Other,NumBaths
708,Coverage B,Other,Garage Factor,table:Garage Factor.Other,Garages
709,Coverage B,Other,Dwelling Claims Factor,,DwellClaims
710,Coverage B,Other,Farming Claims Factor,table:Farming Claims Factor.Other,FarmClaims
711,Coverage B,Other,New Business Loss Experience Factor,,
712,Coverage B,Other,Pool Liability,table:Pool.Other,Pool
713,Coverage B,Other,Trampoline Liability,table:Trampoline.Other,Trampoline
714,Coverage B,Other,Perils Factor,table:Perils.Other,Perils
