Instruction, , , , , , , , , , Result, Operator, (, Operand, ), Actual Value(s)
, CONTINUE, , , , , , , , , , ×, , table:Brushfire.Liability, , "(4, <<0,0>>) = 1"
, CONTINUE, , , , , , , , , , ×, , table:SolidFuel.Liability, , "(4, Cov A, false, false, false, false) = 1"
, CONTINUE, , , , , , , , , , ×, , table:FoundationType.Liability, , "(4, null) = 1"
, CONTINUE, , , , , , , , , , ×, , table:ACVRoof.Liability, , "(4, false, Cov A, null) = 1"
, CONTINUE, , , , , , , , , , ×, , table:All Perils Deductible.Liability, , "(4, Cov A, null, null) = 1"
, CONTINUE, , , , , , , , , , ×, , table:WHDeductible.Liability, , "(4, false, Cov A, null, null, 1) = 1"
, CONTINUE, , , , , , , , , , ×, , table:Occupancy.Liability, , (No Dwelling) = 1
, CONTINUE, , , , , , , , , , ×, , table:EmployeeDiscount, , "(false, 4) = 1"
BaseRate, , , , , , , , , , 187.06970000000, ←, , CostData.BaseRate, , 187.0697
, CONTINUE, , , , , , , , , , ×, , RatingInfo.IRPMFactor, , 1
BaseRate, , , , , , , , , , 187.0697000, ←, , CostData.BaseRate, , 187.0697
, CONTINUE, , , , , , , , , , +, , table:Fixed Expense.Liability, , "(4, Cov A) = 0"
AdjustedRate, , , , , , , , , , 187.0697, ←, , CostData.BaseRate, , 187.0697
TermAmount, , , , , , , , , , 187.07, ←, , CostData.BaseRate, , 187.0697
, CONTINUE, , , , , , , , , , R, , .01, , 187.07
Farm Personal Liability - Water, , , , , , , , , , , , , , , 
FRM_RB_INDIANA (1), , , , , , , , , , , , , , , 
Coverage_Water (1), , , , , , , , , , , , , , , 
PolicySizeFactor, , , , , , , , , , 1.0, ←, , 1, , 1
ContentOnlyFactor, , , , , , , , , , 1.0, ←, , 1, , 1
RateFactor, , , , , , , , , , 1.0, ←, , 1, , 1
AcreageFactor, , , , , , , , , , 1.0, ←, , 1, , 1
AcreageFactor, , , , , , , , , , 1.0000000000, ←, , table:Acreage.Water, , "(4, <<1520,1520>>, Cov A) = 1"
ContentOnlyFactor, , , , , , , , , , 1.00000000000, ←, , ContentOnlyFactor, , 1
, CONTINUE, , , , , , , , , , ×, , table:Utility.Water, , "(4, null, null, null) = 1"
IFactor, , , , , , , , , , 0.0, ←, , 0, , 0
JFactor, , , , , , , , , , 0.0, ←, , 0, , 0
KFactor, , , , , , , , , , 0.0, ←, , 0, , 0
MFactor, , , , , , , , , , 0.0, ←, , 0, , 0
NFactor, , , , , , , , , , 0.0, ←, , 0, , 0
OFactor, , , , , , , , , , 0.0, ←, , 0, , 0
QFactor, , , , , , , , , , 0.0, ←, , 0, , 0
SmartCameraFactor, , , , , , , , , , 0.0, ←, , 0, , 0
SmartLightFactor, , , , , , , , , , 0.0, ←, , 0, , 0
SmartSmokeAlarmFactor, , , , , , , , , , 0.0, ←, , 0, , 0
WaterLeakgDetFactor, , , , , , , , , , 0.0, ←, , 0, , 0
GasLeakgDetFactor, , , , , , , , , , 0.0, ←, , 0, , 0
GeneratorFactor, , , , , , , , , , 0.0, ←, , 0, , 0
AutTempDetFactor, , , , , , , , , , 0.0, ←, , 0, , 0
ADFactor, , , , , , , , , , 0.0, ←, , 0, , 0
CFactor, , , , , , , , , , 0.0, ←, , 0, , 0
CRFactor, , , , , , , , , , 0.0, ←, , 0, , 0
MaxCreditPerPeril, , , , , , , , , , 0E-10, ←, , table:ProtectiveDevices.Water, , "(4, Max, Cov A) = 0"
AllDiscount, , , , , , , , , , 0.0, ←, , IFactor, , 0
, CONTINUE, , , , , , , , , , +, , JFactor, , 0
, CONTINUE, , , , , , , , , , +, , KFactor, , 0
, CONTINUE, , , , , , , , , , +, , MFactor, , 0
, CONTINUE, , , , , , , , , , +, , NFactor, , 0
, CONTINUE, , , , , , , , , , +, , OFactor, , 0
, CONTINUE, , , , , , , , , , +, , QFactor, , 0
, CONTINUE, , , , , , , , , , +, , SmartCameraFactor, , 0
, CONTINUE, , , , , , , , , , +, , SmartSmokeAlarmFactor, , 0
, CONTINUE, , , , , , , , , , +, , SmartLightFactor, , 0
, CONTINUE, , , , , , , , , , +, , AutTempDetFactor, , 0
, CONTINUE, , , , , , , , , , +, , GeneratorFactor, , 0
, CONTINUE, , , , , , , , , , +, , WaterLeakgDetFactor, , 0
, CONTINUE, , , , , , , , , , +, , GasLeakgDetFactor, , 0
, CONTINUE, , , , , , , , , , +, , ADFactor, , 0
, CONTINUE, , , , , , , , , , +, , CFactor, , 0
, CONTINUE, , , , , , , , , , +, , CRFactor, , 0
FinalFactor, , , , , , , , , , 1.0, ←, , 1, , 1
, CONTINUE, , , , , , , , , , −, , "min(AllDiscount, MaxCreditPerPeril)", , "min(0, 0) = 0"
BaseRate, , , , , , , , , , 0E-294, ←, , table:BaseRate.Water, , "(4, Cov A) = 0"
, CONTINUE, , , , , , , , , , ×, , ContentOnlyFactor, , 1
, CONTINUE, , , , , , , , , , ×, , table:Territory Relativities.Water, , "(4, Cov A, 47527) = 0"
, CONTINUE, , , , , , , , , , ×, , table:Wind Hail Exclusion.Water, , (false) = 1
, CONTINUE, , , , , , , , , , ×, , table:Distance To Coast.Water, , "(47527, null) = 1"
, CONTINUE, , , , , , , , , , ×, , table:Wind Mitigation.Water, , "(null, null, null, null) = 1"
, CONTINUE, , , , , , , , , , ×, , AcreageFactor, , 1
, CONTINUE, , , , , , , , , , ×, , table:Farm_Type.Water, , "(4, Dairy, Cov A) = 0"
, CONTINUE, , , , , , , , , , ×, , table:Credit.Water, , "(4, <<998,998>>, Cov A) = 1.043"
, CONTINUE, , , , , , , , , , ×, , table:Protection Class.Water, , "(4, 8, Cov A) = 0"
, CONTINUE, , , , , , , , , , ×, , table:Miles To Fire Department.Water, , "(4, Within5miles, Cov A) = 0"
, CONTINUE, , , , , , , , , , ×, , table:Construction Materials for All.Water, , "(4, Cov A, null) = 0"
, CONTINUE, , , , , , , , , , ×, , table:Farming Claims Factor.Water, , "(4, <<1000,1000>>, Cov A, 0, 0, 0, 0, 0, 0, 0, 0) = 0"
, CONTINUE, , , , , , , , , , ×, , table:Dwelling_Age.Water, , "(4, false, null) = 0"
, CONTINUE, , , , , , , , , , ×, , table:Dwelling Year Built Factor.Water, , "(4, false, 1, null) = 0"
, CONTINUE, , , , , , , , , , ×, , table:AoR.Water, , "(4, Cov A, 1, null, null, false, false) = 0"
, CONTINUE, , , , , , , , , , ×, , table:RoofShape.Water, , "(4, null, false) = 0"
, CONTINUE, , , , , , , , , , ×, , table:RoofExclusion.Water, , "(4, Cov A, false) = 0"
, CONTINUE, , , , , , , , , , ×, , table:MultipolicyDiscount.Water, , "(4, false, false, false, false, false, false) = 1"
, CONTINUE, , , , , , , , , , ×, , table:Fortified.Water, , "(4, null) = 0"
, CONTINUE, , , , , , , , , , ×, , FinalFactor, , 1
, CONTINUE, , , , , , , , , , ×, , PolicySizeFactor, , 1
, CONTINUE, , , , , , , , , , ×, , CoverageInfo.CovModLimit, , 1
, CONTINUE, , , , , , , , , , ×, , table:Brushfire.Water, , "(4, <<0,0>>) = 0"
, CONTINUE, , , , , , , , , , ×, , table:SolidFuel.Water, , "(4, Cov A, false, false, false, false) = 0"
, CONTINUE, , , , , , , , , , ×, , table:FoundationType.Water, , "(4, null) = 0"
, CONTINUE, , , , , , , , , , ×, , table:ACVRoof.Water, , "(4, false, Cov A, null) = 1"
, CONTINUE, , , , , , , , , , ×, , table:All Perils Deductible.Water, , "(4, Cov A, null, null) = 0"
, CONTINUE, , , , , , , , , , ×, , table:WHDeductible.Water, , "(4, false, Cov A, null, null, 1) = 0"
, CONTINUE, , , , , , , , , , ×, , table:Occupancy.Water, , (No Dwelling) = 0
, CONTINUE, , , , , , , , , , ×, , table:EmployeeDiscount, , "(false, 4) = 1"
, CONTINUE, , , , , , , , , , ×, , RateFactor, , 1
BaseRate, , , , , , , , , , 0E-7, ←, , CostData.BaseRate, , 0
, CONTINUE, , , , , , , , , , +, , table:Fixed Expense.Water, , "(4, Cov A) = 0"
AdjustedRate, , , , , , , , , , 0.0000, ←, , CostData.BaseRate, , 0
TermAmount, , , , , , , , , , 0.00, ←, , CostData.BaseRate, , 0
, CONTINUE, , , , , , , , , , R, , .01, , 0.00
Farm Personal Liability - Hurricane, , , , , , , , , , , , , , , 
FRM_RB_INDIANA (1), , , , , , , , , , , , , , , 
Coverage_Hurricane (1), , , , , , , , , , , , , , , 
PolicySizeFactor, , , , , , , , , , 1.0, ←, , 1, , 1
ContentOnlyFactor, , , , , , , , , , 1.0, ←, , 1, , 1
RateFactor, , , , , , , , , , 1.0, ←, , 1, , 1
AcreageFactor, , , , , , , , , , 1.0, ←, , 1, , 1
AcreageFactor, , , , , , , , , , 1.0000000000, ←, , table:Acreage.Hurricane, , "(4, <<1520,1520>>, Cov A) = 1"
ContentOnlyFactor, , , , , , , , , , 1.00000000000, ←, , ContentOnlyFactor, , 1
, CONTINUE, , , , , , , , , , ×, , table:Utility.Hurricane, , "(4, null, null, null) = 1"
IFactor, , , , , , , , , , 0.0, ←, , 0, , 0
JFactor, , , , , , , , , , 0.0, ←, , 0, , 0
KFactor, , , , , , , , , , 0.0, ←, , 0, , 0
MFactor, , , , , , , , , , 0.0, ←, , 0, , 0
NFactor, , , , , , , , , , 0.0, ←, , 0, , 0
OFactor, , , , , , , , , , 0.0, ←, , 0, , 0
QFactor, , , , , , , , , , 0.0, ←, , 0, , 0
SmartCameraFactor, , , , , , , , , , 0.0, ←, , 0, , 0
SmartLightFactor, , , , , , , , , , 0.0, ←, , 0, , 0
SmartSmokeAlarmFactor, , , , , , , , , , 0.0, ←, , 0, , 0
WaterLeakgDetFactor, , , , , , , , , , 0.0, ←, , 0, , 0
GasLeakgDetFactor, , , , , , , , , , 0.0, ←, , 0, , 0
GeneratorFactor, , , , , , , , , , 0.0, ←, , 0, , 0
AutTempDetFactor, , , , , , , , , , 0.0, ←, , 0, , 0
ADFactor, , , , , , , , , , 0.0, ←, , 0, , 0
CFactor, , , , , , , , , , 0.0, ←, , 0, , 0
CRFactor, , , , , , , , , , 0.0, ←, , 0, , 0
MaxCreditPerPeril, , , , , , , , , , 0E-10, ←, , table:ProtectiveDevices.Hurricane, , "(4, Max, Cov A) = 0"
AllDiscount, , , , , , , , , , 0.0, ←, , IFactor, , 0
, CONTINUE, , , , , , , , , , +, , JFactor, , 0
, CONTINUE, , , , , , , , , , +, , KFactor, , 0
, CONTINUE, , , , , , , , , , +, , MFactor, , 0
, CONTINUE, , , , , , , , , , +, , NFactor, , 0
, CONTINUE, , , , , , , , , , +, , OFactor, , 0
, CONTINUE, , , , , , , , , , +, , QFactor, , 0
, CONTINUE, , , , , , , , , , +, , SmartCameraFactor, , 0
, CONTINUE, , , , , , , , , , +, , SmartSmokeAlarmFactor, , 0
, CONTINUE, , , , , , , , , , +, , SmartLightFactor, , 0
, CONTINUE, , , , , , , , , , +, , AutTempDetFactor, , 0
, CONTINUE, , , , , , , , , , +, , GeneratorFactor, , 0
, CONTINUE, , , , , , , , , , +, , WaterLeakgDetFactor, , 0
, CONTINUE, , , , , , , , , , +, , GasLeakgDetFactor, , 0
, CONTINUE, , , , , , , , , , +, , ADFactor, , 0
, CONTINUE, , , , , , , , , , +, , CFactor, , 0
, CONTINUE, , , , , , , , , , +, , CRFactor, , 0
FinalFactor, , , , , , , , , , 1.0, ←, , 1, , 1
, CONTINUE, , , , , , , , , , −, , "min(AllDiscount, MaxCreditPerPeril)", , "min(0, 0) = 0"
BaseRate, , , , , , , , , , 0E-294, ←, , table:BaseRate.Hurricane, , "(4, Cov A) = 0"
, CONTINUE, , , , , , , , , , ×, , ContentOnlyFactor, , 1
, CONTINUE, , , , , , , , , , ×, , table:Territory Relativities.Hurricane, , "(4, Cov A, 47527) = 0"
, CONTINUE, , , , , , , , , , ×, , table:Wind Hail Exclusion.Hurricane, , (false) = 1
, CONTINUE, , , , , , , , , , ×, , table:Distance To Coast.Hurricane, , "(47527, null) = 1"
, CONTINUE, , , , , , , , , , ×, , AcreageFactor, , 1
, CONTINUE, , , , , , , , , , ×, , table:Farm_Type.Hurricane, , "(4, Dairy, Cov A) = 0"
, CONTINUE, , , , , , , , , , ×, , table:Credit.Hurricane, , "(4, <<998,998>>, Cov A) = 1.027"
, CONTINUE, , , , , , , , , , ×, , table:Protection Class.Hurricane, , "(4, 8, Cov A) = 0"
, CONTINUE, , , , , , , , , , ×, , table:Miles To Fire Department.Hurricane, , "(4, Within5miles, Cov A) = 0"
, CONTINUE, , , , , , , , , , ×, , table:Construction Materials for All.Hurricane, , "(4, Cov A, null) = 0"
, CONTINUE, , , , , , , , , , ×, , table:Farming Claims Factor.Hurricane, , "(4, <<1000,1000>>, Cov A, 0, 0, 0, 0, 0, 0, 0, 0) = 0"
, CONTINUE, , , , , , , , , , ×, , RateFactor, , 1
, CONTINUE, , , , , , , , , , ×, , table:Dwelling_Age.Hurricane, , "(4, false, null) = 0"
, CONTINUE, , , , , , , , , , ×, , table:Dwelling Year Built Factor.Hurricane, , "(4, false, 1, null) = 0"
, CONTINUE, , , , , , , , , , ×, , table:AoR.Hurricane, , "(4, Cov A, 1, null, null, false, false) = 0"
, CONTINUE, , , , , , , , , , ×, , table:RoofShape.Hurricane, , "(4, null, false) = 0"
, CONTINUE, , , , , , , , , , ×, , table:RoofExclusion.Hurricane, , "(4, Cov A, false) = 0"
, CONTINUE, , , , , , , , , , ×, , table:Utility.Hurricane, , "(4, null, null, null) = 1"
, CONTINUE, , , , , , , , , , ×, , table:MultipolicyDiscount.Hurricane, , "(4, false, false, false, false, false, false) = 1"
, CONTINUE, , , , , , , , , , ×, , table:Fortified.Hurricane, , "(4, null) = 0"
, CONTINUE, , , , , , , , , , ×, , FinalFactor, , 1
, CONTINUE, , , , , , , , , , ×, , PolicySizeFactor, , 1
, CONTINUE, , , , , , , , , , ×, , CoverageInfo.CovModLimit, , 1
, CONTINUE, , , , , , , , , , ×, , table:Brushfire.Hurricane, , "(4, <<0,0>>) = 0"
, CONTINUE, , , , , , , , , , ×, , table:SolidFuel.Hurricane, , "(4, Cov A, false, false, false, false) = 0"
, CONTINUE, , , , , , , , , , ×, , table:FoundationType.Hurricane, , "(4, null) = 0"
, CONTINUE, , , , , , , , , , ×, , table:ACVRoof.Hurricane, , "(4, false, Cov A, null) = 1"
, CONTINUE, , , , , , , , , , ×, , table:All Perils Deductible.Hurricane, , "(4, Cov A, null, null) = 0"
, CONTINUE, , , , , , , , , , ×, , table:WHDeductible.Hurricane, , "(4, false, Cov A, null, null, 1) = 0"
, CONTINUE, , , , , , , , , , ×, , table:Occupancy.Hurricane, , (No Dwelling) = 0
, CONTINUE, , , , , , , , , , ×, , table:EmployeeDiscount, , "(false, 4) = 1"
BaseRate, , , , , , , , , , 0E-7, ←, , CostData.BaseRate, , 0
, CONTINUE, , , , , , , , , , +, , table:Fixed Expense.Hurricane, , "(4, Cov A) = 0"
AdjustedRate, , , , , , , , , , 0.0000, ←, , CostData.BaseRate, , 0
TermAmount, , , , , , , , , , 0.00, ←, , CostData.BaseRate, , 0
, CONTINUE, , , , , , , , , , R, , .01, , 0.00
Scheduled Farm Personal Property ( Cotton Harvesting Equipment ) -Liability, , , , , , , , , , , , , , , 
FRM_RB_INDIANA (1), , , , , , , , , , , , , , , 
Cov_F_Liability (1), , , , , , , , , , , , , , , 
AcreageFactor, , , , , , , , , , 1.0, ←, , 1, , 1
PolicySizeFactor, , , , , , , , , , 0.9535000000, ←, , table:PolicySizeRelativity.Liability, , "(1, 12500, Cov F) = 0.9535"
AcreageFactor, , , , , , , , , , 2.6270000000, ←, , table:Acreage.Liability, , "(1, <<1520,1520>>, Cov F) = 2.627"
BaseRate, , , , , , , , , , 41.6724179724647254460000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, ←, , table:BaseRate.Liability, , "(1, Cov F) = 14.42"
, CONTINUE, , , , , , , , , , ×, , table:Territory Relativities.Liability, , "(1, Cov F, 47527) = 0.982"
, CONTINUE, , , , , , , , , , ×, , table:Wind Hail Exclusion.Liability, , (false) = 1
, CONTINUE, , , , , , , , , , ×, , AcreageFactor, , 2.627
, CONTINUE, , , , , , , , , , ×, , table:Farm_Type.Liability, , "(1, Dairy, Cov F) = 1.1"
, CONTINUE, , , , , , , , , , ×, , table:Farm Property Class.Liability, , "(1, Cotton Harvesting Equipment) = 1.1"
, CONTINUE, , , , , , , , , , ×, , table:Credit.Liability, , "(1, <<998,998>>, Cov F) = 1.067"
, CONTINUE, , , , , , , , , , ×, , table:Protection Class.Liability, , "(1, 8, Cov F) = 0.91"
, CONTINUE, , , , , , , , , , ×, , table:Age Of Equipment.Liability, , "(1, <<1,1>>, Cotton) = 1"
, CONTINUE, , , , , , , , , , ×, , table:MultipolicyDiscount.Liability, , "(1, false, false, false, false, false, false) = 1"
, CONTINUE, , , , , , , , , , ×, , PolicySizeFactor, , 0.9535
, CONTINUE, , , , , , , , , , ×, , table:All Perils Deductible.Liability, , "(1, Cov F, 1000, <<12500,12500>>) = 1"
, CONTINUE, , , , , , , , , , ×, , table:EmployeeDiscount, , "(false, 1) = 1"
BaseRate, , , , , , , , , , 41.67240000000, ←, , CostData.BaseRate, , 41.6724
, CONTINUE, , , , , , , , , , ×, , RatingInfo.IRPMFactor, , 1
BaseRate, , , , , , , , , , 41.6724000, ←, , CostData.BaseRate, , 41.6724
, CONTINUE, , , , , , , , , , +, , table:Fixed Expense.Liability, , "(1, Cov F) = 0"
AdjustedRate, , , , , , , , , , 41.6724, ←, , CostData.BaseRate, , 41.6724
TermAmount, , , , , , , , , , 41.67, ←, , CostData.BaseRate, , 41.6724
, CONTINUE, , , , , , , , , , R, , .01, , 41.67
Scheduled Farm Personal Property ( Poultry ) -Other, , , , , , , , , , , , , , , 
FRM_RB_INDIANA (1), , , , , , , , , , , , , , , 
Cov_F_Other (1), , , , , , , , , , , , , , , 
AcreageFactor, , , , , , , , , , 1.0, ←, , 1, , 1
PolicySizeFactor, , , , , , , , , , 0.0305388889, ←, , table:PolicySizeRelativity.Other, , "(1, 2145, Cov F) = 0.03053889"
AcreageFactor, , , , , , , , , , 1.0000000000, ←, , table:Acreage.Other, , "(1, <<1520,1520>>, Cov F) = 1"
BaseRate, , , , , , , , , , 8.1682549221468955500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, ←, , table:BaseRate.Other, , "(1, Cov F) = 335"
, CONTINUE, , , , , , , , , , ×, , table:Territory Relativities.Other, , "(1, Cov F, 47527) = 1.075"
, CONTINUE, , , , , , , , , , ×, , table:Wind Hail Exclusion.Other, , (false) = 1
, CONTINUE, , , , , , , , , , ×, , AcreageFactor, , 1
, CONTINUE, , , , , , , , , , ×, , table:Farm_Type.Other, , "(1, Dairy, Cov F) = 1"
, CONTINUE, , , , , , , , , , ×, , table:Farm Property Class.Other, , "(1, Poultry) = 0.8"
, CONTINUE, , , , , , , , , , ×, , table:Credit.Other, , "(1, <<998,998>>, Cov F) = 1.035"
, CONTINUE, , , , , , , , , , ×, , table:Protection Class.Other, , "(1, 8, Cov F) = 1"
, CONTINUE, , , , , , , , , , ×, , table:Age Of Equipment.Other, , "(1, null, Other) = 1"
, CONTINUE, , , , , , , , , , ×, , table:MultipolicyDiscount.Other, , "(1, false, false, false, false, false, false) = 1"
, CONTINUE, , , , , , , , , , ×, , PolicySizeFactor, , 0.03053889
, CONTINUE, , , , , , , , , , ×, , table:All Perils Deductible.Other, , "(1, Cov F, 1000, <<2145,2145>>) = 0.897"
, CONTINUE, , , , , , , , , , ×, , table:EmployeeDiscount, , "(false, 1) = 1"
BaseRate, , , , , , , , , , 8.16830000000, ←, , CostData.BaseRate, , 8.1683
, CONTINUE, , , , , , , , , , ×, , RatingInfo.IRPMFactor, , 1
BaseRate, , , , , , , , , , 8.1683000, ←, , CostData.BaseRate, , 8.1683
, CONTINUE, , , , , , , , , , +, , table:Fixed Expense.Other, , "(1, Cov F) = 0"
AdjustedRate, , , , , , , , , , 8.1683, ←, , CostData.BaseRate, , 8.1683
TermAmount, , , , , , , , , , 8.17, ←, , CostData.BaseRate, , 8.1683
, CONTINUE, , , , , , , , , , R, , .01, , 8.17
Scheduled Farm Personal Property ( Machinery ) -Wind, , , , , , , , , , , , , , , 
FRM_RB_INDIANA (1), , , , , , , , , , , , , , , 
Cov_F_Wind (1), , , , , , , , , , , , , , , 
PolicySizeFactor, , , , , , , , , , 0.0564700000, ←, , table:PolicySizeRelativity.Wind, , "(1, 5647, Cov F) = 0.05647"
AcreageFactor, , , , , , , , , , 1.0, ←, , 1, , 1
AcreageFactor, , , , , , , , , , 1.0000000000, ←, , table:Acreage.Wind, , "(1, <<1520,1520>>, Cov F) = 1"
BaseRate, , , , , , , , , , 6.2584352215038225000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, ←, , table:BaseRate.Wind, , "(1, Cov F) = 110.55"
, CONTINUE, , , , , , , , , , ×, , table:Territory Relativities.Wind, , "(1, Cov F, 47527) = 1.103"
, CONTINUE, , , , , , , , , , ×, , table:Wind Hail Exclusion.Wind, , (false) = 1
, CONTINUE, , , , , , , , , , ×, , AcreageFactor, , 1
, CONTINUE, , , , , , , , , , ×, , table:Farm_Type.Wind, , "(1, Dairy, Cov F) = 1"
, CONTINUE, , , , , , , , , , ×, , table:Farm Property Class.Wind, , "(1, Machinery) = 1"
, CONTINUE, , , , , , , , , , ×, , table:Credit.Wind, , "(1, <<998,998>>, Cov F) = 1.027"
, CONTINUE, , , , , , , , , , ×, , table:Protection Class.Wind, , "(1, 8, Cov F) = 0.885"
, CONTINUE, , , , , , , , , , ×, , table:Age Of Equipment.Wind, , "(1, <<1,1>>, Machinery) = 1"
, CONTINUE, , , , , , , , , , ×, , table:MultipolicyDiscount.Wind, , "(1, false, false, false, false, false, false) = 1"
, CONTINUE, , , , , , , , , , ×, , PolicySizeFactor, , 0.05647
, CONTINUE, , , , , , , , , , ×, , table:All Perils Deductible.Wind, , "(1, Cov F, 1000, <<5647,5647>>) = 1"
, CONTINUE, , , , , , , , , , ×, , table:EmployeeDiscount, , "(false, 1) = 1"
BaseRate, , , , , , , , , , 6.25840000000, ←, , CostData.BaseRate, , 6.2584
, CONTINUE, , , , , , , , , , ×, , RatingInfo.IRPMFactor, , 1
BaseRate, , , , , , , , , , 6.2584000, ←, , CostData.BaseRate, , 6.2584
, CONTINUE, , , , , , , , , , +, , table:Fixed Expense.Wind, , "(1, Cov F) = 0"
AdjustedRate, , , , , , , , , , 6.2584, ←, , CostData.BaseRate, , 6.2584
TermAmount, , , , , , , , , , 6.26, ←, , CostData.BaseRate, , 6.2584
, CONTINUE, , , , , , , , , , R, , .01, , 6.26
Scheduled Farm Personal Property ( Grain ) -Hail, , , , , , , , , , , , , , , 
FRM_RB_INDIANA (1), , , , , , , , , , , , , , , 
Cov_F_Hail (1), , , , , , , , , , , , , , , 
PolicySizeFactor, , , , , , , , , , 0.0255200000, ←, , table:PolicySizeRelativity.Hail, , "(1, 2552, Cov F) = 0.02552"
AcreageFactor, , , , , , , , , , 1.0, ←, , 1, , 1
AcreageFactor, , , , , , , , , , 1.0000000000, ←, , table:Acreage.Hail, , "(1, <<1520,1520>>, Cov F) = 1"
BaseRate, , , , , , , , , , 0.0093286804913280000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, ←, , table:BaseRate.Hail, , "(1, Cov F) = 0.36"
, CONTINUE, , , , , , , , , , ×, , table:Territory Relativities.Hail, , "(1, Cov F, 47527) = 1.103"
, CONTINUE, , , , , , , , , , ×, , table:Wind Hail Exclusion.Hail, , (false) = 1
, CONTINUE, , , , , , , , , , ×, , AcreageFactor, , 1
, CONTINUE, , , , , , , , , , ×, , table:Farm_Type.Hail, , "(1, Dairy, Cov F) = 1"
, CONTINUE, , , , , , , , , , ×, , table:Farm Property Class.Hail, , "(1, Grain) = 0.8"
, CONTINUE, , , , , , , , , , ×, , table:Credit.Hail, , "(1, <<998,998>>, Cov F) = 1.005"
, CONTINUE, , , , , , , , , , ×, , table:Protection Class.Hail, , "(1, 8, Cov F) = 1.145"
, CONTINUE, , , , , , , , , , ×, , table:Age Of Equipment.Hail, , "(1, null, Other) = 1"
, CONTINUE, , , , , , , , , , ×, , table:MultipolicyDiscount.Hail, , "(1, false, false, false, false, false, false) = 1"
, CONTINUE, , , , , , , , , , ×, , PolicySizeFactor, , 0.02552
, CONTINUE, , , , , , , , , , ×, , table:All Perils Deductible.Hail, , "(1, Cov F, 1000, <<2552,2552>>) = 1"
, CONTINUE, , , , , , , , , , ×, , table:EmployeeDiscount, , "(false, 1) = 1"
BaseRate, , , , , , , , , , 0.00930000000, ←, , CostData.BaseRate, , 0.0093
, CONTINUE, , , , , , , , , , ×, , RatingInfo.IRPMFactor, , 1
BaseRate, , , , , , , , , , 0.0093000, ←, , CostData.BaseRate, , 0.0093
, CONTINUE, , , , , , , , , , +, , table:Fixed Expense.Hail, , "(1, Cov F) = 0"
AdjustedRate, , , , , , , , , , 0.0093, ←, , CostData.BaseRate, , 0.0093
TermAmount, , , , , , , , , , 0.01, ←, , CostData.BaseRate, , 0.0093
, CONTINUE, , , , , , , , , , R, , .01, , 0.01
Scheduled Farm Personal Property ( Cotton Harvesting Equipment ) -Water, , , , , , , , , , , , , , , 
FRM_RB_INDIANA (1), , , , , , , , , , , , , , , 
FarmMachineryUnderScheduledPP_Water (1), , , , , , , , , , , , , , , 
BaseRate, , , , , , , , , , 0.109500000, ←, , CoverageInfo.CoverageFWaterCost, , 0.73
, CONTINUE, , , , , , , , , , ×, , table:FPP_RC.Water, , (1) = 0.15
AdjustedRate, , , , , , , , , , 0.1095, ←, , CostData.BaseRate, , 0.1095
TermAmount, , , , , , , , , , 0.11, ←, , CostData.BaseRate, , 0.1095
, CONTINUE, , , , , , , , , , R, , .01, , 0.11
Scheduled Farm Personal Property ( Combines ) -Water, , , , , , , , , , , , , , , 
FRM_RB_INDIANA (1), , , , , , , , , , , , , , , 
Cov_F_Water (1), , , , , , , , , , , , , , , 
AcreageFactor, , , , , , , , , , 1.0, ←, , 1, , 1
PolicySizeFactor, , , , , , , , , , 0.6352122000, ←, , table:PolicySizeRelativity.Water, , "(1, 52363, Cov F) = 0.6352122"
AcreageFactor, , , , , , , , , , 1.0000000000, ←, , table:Acreage.Water, , "(1, <<1520,1520>>, Cov F) = 1"
BaseRate, , , , , , , , , , 2.6010889508007936000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, ←, , table:BaseRate.Water, , "(1, Cov F) = 4.26"
, CONTINUE, , , , , , , , , , ×, , table:Territory Relativities.Water, , "(1, Cov F, 47527) = 0.96"
, CONTINUE, , , , , , , , , , ×, , table:Wind Hail Exclusion.Water, , (false) = 1
, CONTINUE, , , , , , , , , , ×, , AcreageFactor, , 1
, CONTINUE, , , , , , , , , , ×, , table:Farm_Type.Water, , "(1, Dairy, Cov F) = 1"
, CONTINUE, , , , , , , , , , ×, , table:Farm Property Class.Water, , "(1, Combines) = 1"
, CONTINUE, , , , , , , , , , ×, , table:Credit.Water, , "(1, <<998,998>>, Cov F) = 1.043"
, CONTINUE, , , , , , , , , , ×, , table:Protection Class.Water, , "(1, 8, Cov F) = 1"
, CONTINUE, , , , , , , , , , ×, , table:Age Of Equipment.Water, , "(1, <<0,0>>, Combines) = 1"
, CONTINUE, , , , , , , , , , ×, , table:MultipolicyDiscount.Water, , "(1, false, false, false, false, false, false) = 1"
, CONTINUE, , , , , , , , , , ×, , PolicySizeFactor, , 0.6352122
, CONTINUE, , , , , , , , , , ×, , table:All Perils Deductible.Water, , "(1, Cov F, 1000, <<52363,52363>>) = 0.96"
, CONTINUE, , , , , , , , , , ×, , table:EmployeeDiscount, , "(false, 1) = 1"
